Time,Round,Coverage
00:00:28,1,1
00:05:42,12,6
00:10:56,23,7
00:16:10,34,11
00:21:23,45,11
00:26:37,56,11
00:31:51,67,14
00:37:05,78,14
00:42:18,89,15
00:48:38,100,15
00:53:52,111,15
00:59:06,122,15
01:04:19,133,15
01:09:33,144,15
01:14:47,155,15
01:20:00,166,16
01:25:14,177,19
01:30:28,188,19
01:35:42,199,19
01:41:02,208,19
01:46:16,219,19
01:51:30,230,19
01:56:43,241,19
02:01:57,252,19
02:07:11,263,19
02:12:25,274,20
02:17:38,285,22
02:22:52,296,22
02:28:13,305,22
02:33:28,316,22
02:38:42,327,22
02:43:55,338,23
02:49:09,349,26
02:54:23,360,26
02:59:37,371,26
03:04:51,382,26
03:10:04,393,27
03:15:31,402,28
03:20:45,413,28
03:25:59,424,28
03:31:13,435,30
03:36:27,446,30
03:41:41,457,30
03:46:55,468,30
03:52:08,479,30
03:57:22,490,30
04:03:20,500,30
04:08:34,511,30
04:13:48,522,30
04:19:03,533,30
04:24:17,544,30
04:29:30,555,31
04:34:44,566,31
04:39:58,577,31
04:45:12,588,34
04:50:25,599,37
04:55:26,607,37
05:00:41,618,37
05:05:54,629,37
05:11:08,640,37
05:16:22,651,37
05:21:36,662,39
05:26:49,673,40
05:32:03,684,42
05:37:17,695,42
05:42:38,704,42
05:47:52,715,42
05:53:06,726,43
05:58:21,737,43
06:03:35,748,44
06:08:49,759,44
06:14:02,770,44
06:19:16,781,44
06:24:30,792,44
06:29:31,800,44
06:34:46,811,44
06:40:00,822,44
06:45:14,833,44
06:50:28,844,44
06:55:41,855,46
07:00:55,866,49
07:06:09,877,52
07:11:23,888,53
07:16:37,899,53
07:21:58,908,54
07:27:11,919,55
07:32:25,930,56
07:37:39,941,57
07:42:50,954,58
07:48:04,965,58
07:53:18,976,58
07:58:33,987,58
08:03:46,998,58
08:08:58,1006,58
08:14:12,1017,60
08:19:26,1028,60
08:24:40,1039,60
08:29:54,1050,60
08:35:07,1061,60
08:40:21,1072,60
08:45:35,1083,60
08:50:49,1094,60
08:56:10,1103,61
09:01:24,1114,61
09:06:39,1125,62
09:11:53,1136,64
09:17:07,1147,64
09:22:21,1158,64
09:27:35,1169,64
09:32:50,1180,64
09:38:04,1191,64
09:43:39,1200,64
09:48:54,1211,64
09:54:08,1222,64
09:59:28,1234,66
10:04:34,1245,67
10:10:02,1258,67
10:15:16,1269,68
10:20:30,1280,68
10:25:44,1291,68
10:31:19,1300,68
10:36:34,1311,69
10:41:48,1322,70
10:47:02,1333,71
10:52:16,1344,71
10:57:30,1355,72
11:02:43,1366,76
11:07:57,1377,76
11:13:11,1388,76
11:18:26,1399,76
11:23:47,1408,76
11:29:01,1419,76
11:34:16,1430,77
11:39:30,1441,77
11:44:43,1452,80
11:49:57,1463,81
11:55:11,1474,82
12:00:25,1485,84
12:05:39,1496,84
12:11:00,1505,84
12:16:14,1516,85
12:21:28,1530,85
12:26:42,1541,85
12:31:56,1552,85
12:37:10,1563,85
12:42:24,1574,86
12:47:38,1585,87
12:52:52,1596,87
12:58:13,1605,87
13:03:26,1616,88
13:08:40,1627,88
13:13:54,1638,88
13:19:08,1649,88
13:24:22,1660,88
13:29:36,1671,89
13:34:50,1682,92
13:40:04,1693,92
13:45:26,1702,92
13:50:34,1709,92
13:55:49,1720,92
14:01:03,1731,92
14:06:17,1742,92
14:11:32,1753,93
14:16:46,1764,93
14:22:00,1775,93
14:27:13,1786,93
14:32:27,1797,93
14:37:42,1808,93
14:43:03,1817,93
14:48:17,1828,93
14:53:31,1839,94
14:58:45,1850,95
15:03:59,1861,96
15:09:05,1873,97
15:14:33,1885,98
15:19:47,1896,99
15:25:01,1907,99
15:30:22,1916,99
15:35:36,1927,100
15:40:50,1938,100
15:46:04,1949,100
15:51:18,1960,100
15:56:34,1971,100
16:01:48,1982,100
16:07:02,1993,101
16:12:18,2004,101
16:17:39,2013,101
16:22:53,2024,101
16:28:07,2035,101
16:33:21,2046,101
16:38:35,2057,101
16:43:49,2068,103
16:49:03,2079,106
16:54:17,2090,106
16:59:31,2101,106
17:04:52,2110,106
17:10:06,2121,106
17:15:21,2132,106
17:20:35,2143,106
17:25:49,2154,107
17:31:03,2165,107
17:36:17,2176,107
17:41:32,2187,107
17:46:46,2198,107
17:53:04,2209,109
17:58:18,2220,109
18:03:33,2231,109
18:08:47,2242,109
18:14:01,2253,109
18:19:15,2264,109
18:24:30,2275,109
18:29:44,2286,109
18:34:57,2298,110
18:41:16,2309,110
18:46:30,2320,110
18:51:44,2331,110
18:56:58,2342,111
19:02:12,2353,111
19:07:26,2364,111
19:12:40,2378,111
19:17:54,2389,111
19:23:09,2400,111
19:28:30,2409,111
19:33:44,2420,111
19:38:59,2431,111
19:44:13,2442,111
19:49:27,2453,111
19:54:41,2464,112
19:59:55,2475,112
20:05:09,2486,113
20:10:23,2497,113
20:15:39,2508,113
20:21:00,2517,113
20:26:14,2528,113
20:31:28,2539,113
20:36:42,2550,113
20:41:56,2561,113
20:47:11,2572,113
20:52:25,2583,113
20:57:40,2594,113
21:02:54,2605,113
21:08:15,2614,113
21:13:30,2625,113
21:18:44,2636,113
21:23:58,2647,113
21:29:12,2658,113
21:34:26,2669,113
21:39:41,2680,113
21:44:55,2691,113
21:50:09,2702,113
21:55:33,2711,113
22:00:48,2722,113
22:05:59,2734,114
22:11:14,2745,114
22:16:28,2756,114
22:21:42,2767,114
22:26:56,2778,114
22:32:10,2789,114
22:37:26,2800,114
22:42:47,2809,114
22:48:01,2820,114
22:53:14,2832,114
22:58:34,2847,115
23:03:41,2858,115
23:08:55,2869,115
23:14:09,2880,115
23:19:23,2891,117
23:24:38,2902,117
23:29:50,2910,117
23:35:05,2921,117
23:40:19,2932,117
23:45:34,2943,117
23:50:48,2954,119
23:56:07,2965,119
24:01:22,2976,119
24:06:36,2987,119
24:11:50,2998,119
24:18:08,3009,119
24:23:22,3020,120
24:28:36,3031,120
24:33:50,3042,120
24:39:06,3053,121
24:44:20,3064,124
24:49:34,3075,124
24:54:49,3086,124
25:00:04,3097,124
25:05:19,3108,124
25:10:40,3117,124
25:15:54,3128,124
25:21:08,3139,124
25:26:22,3150,127
25:31:38,3161,127
25:36:52,3172,127
25:42:07,3183,127
25:47:22,3194,127
25:52:36,3205,127
25:57:57,3214,127
26:03:12,3225,127
26:08:28,3236,129
26:13:43,3247,130
26:18:57,3258,130
26:24:11,3269,130
26:29:26,3280,130
26:34:40,3291,130
26:39:54,3302,130
26:45:15,3311,130
26:50:30,3322,130
26:55:45,3333,131
27:01:00,3344,131
27:06:16,3355,131
27:11:30,3366,131
27:16:44,3377,131
27:21:59,3388,132
27:27:26,3402,132
27:32:39,3410,132
27:37:54,3421,132
27:43:08,3432,133
27:48:25,3443,133
27:53:39,3454,133
27:58:54,3465,133
28:04:09,3476,133
28:09:23,3490,133
28:14:37,3501,134
28:19:59,3510,134
28:25:16,3521,134
28:30:31,3532,134
28:35:46,3543,134
28:41:01,3554,135
28:46:16,3565,136
28:51:30,3576,136
28:56:44,3587,136
29:01:59,3598,136
29:08:17,3609,136
29:13:31,3620,136
29:18:46,3631,136
29:24:01,3642,136
29:29:15,3653,136
29:34:29,3664,136
29:39:44,3675,136
29:44:46,3689,137
29:50:01,3700,137
29:55:22,3709,137
30:00:36,3720,137
30:05:52,3731,137
30:11:06,3742,137
30:16:20,3753,138
30:21:34,3764,139
30:26:49,3775,139
30:32:03,3786,139
30:37:18,3797,139
30:42:34,3808,139
30:47:56,3817,139
30:53:12,3828,139
30:58:26,3839,139
31:03:40,3850,139
31:08:55,3861,139
31:14:09,3872,139
31:19:24,3883,139
31:24:39,3894,139
31:29:53,3905,139
31:35:16,3914,140
31:40:30,3925,141
31:45:45,3936,142
31:50:59,3947,143
31:56:14,3958,143
32:01:22,3969,143
32:06:40,3984,143
32:12:05,3999,143
32:17:55,4009,143
32:23:09,4020,143
32:28:23,4031,143
32:33:38,4042,143
32:38:52,4053,143
32:44:06,4064,143
32:49:21,4075,143
32:54:35,4086,143
32:59:41,4098,144
33:06:00,4109,144
33:11:15,4120,144
33:16:29,4131,144
33:21:44,4142,144
33:26:55,4153,144
33:32:09,4164,144
33:37:23,4175,145
33:42:38,4186,145
33:47:53,4197,145
33:53:07,4208,146
33:58:28,4217,146
34:03:42,4228,146
34:08:55,4239,149
34:14:09,4250,151
34:19:23,4261,152
34:24:36,4272,152
34:29:50,4283,153
34:34:51,4294,153
34:40:05,4305,153
34:45:18,4313,154
34:50:35,4324,154
34:55:48,4335,158
35:01:03,4346,158
35:06:17,4357,158
35:11:32,4368,158
35:16:46,4379,159
35:22:00,4390,159
35:27:16,4401,159
35:32:37,4410,160
35:37:53,4421,160
35:43:07,4432,161
35:48:22,4443,161
35:53:37,4454,161
35:58:51,4465,162
36:04:06,4476,162
36:09:21,4487,162
36:14:36,4498,163
36:20:55,4509,164
36:26:09,4520,165
36:31:24,4531,166
36:36:38,4542,166
36:41:52,4553,166
36:47:07,4564,166
36:52:21,4575,166
36:57:36,4586,167
37:02:51,4597,168
37:08:06,4608,168
37:13:27,4617,168
37:18:41,4628,168
37:23:57,4639,168
37:29:12,4650,168
37:34:14,4661,168
37:39:29,4672,168
37:44:45,4683,168
37:49:59,4694,169
37:55:00,4705,169
38:00:07,4715,169
38:05:22,4726,170
38:10:36,4737,170
38:15:51,4748,170
38:21:05,4759,171
38:26:20,4770,171
38:31:36,4781,171
38:36:51,4792,171
38:42:07,4803,171
38:47:31,4814,171
38:52:46,4825,171
38:58:01,4836,171
39:03:16,4847,172
39:08:30,4858,172
39:13:45,4869,172
39:18:59,4880,172
39:24:14,4891,172
39:29:29,4902,173
39:34:50,4911,173
39:40:46,4922,173
39:46:08,4931,173
39:51:22,4942,174
39:56:37,4953,174
40:01:52,4964,174
40:07:07,4975,175
40:12:21,4986,175
40:17:43,4998,175
40:22:57,5009,175
40:28:12,5020,175
40:33:33,5029,175
40:38:44,5041,176
40:43:59,5052,176
40:49:15,5063,176
40:54:29,5074,176
40:59:44,5085,178
41:04:59,5096,179
41:10:15,5107,180
41:15:29,5118,180
41:20:51,5127,180
41:26:06,5138,180
41:31:20,5149,180
41:36:35,5160,180
41:41:50,5171,180
41:47:05,5182,181
41:52:20,5193,181
41:57:35,5204,181
42:02:49,5215,181
42:08:13,5224,181
42:13:32,5236,181
42:18:57,5248,181
42:24:12,5259,181
42:29:27,5270,181
42:34:42,5281,181
42:39:56,5292,182
42:45:12,5303,182
42:50:27,5314,182
42:55:48,5323,182
43:01:03,5334,182
43:06:17,5345,182
43:11:36,5356,182
43:16:51,5367,183
43:22:07,5378,183
43:27:28,5390,183
43:32:40,5403,183
43:37:46,5416,183
43:43:08,5425,183
43:48:22,5436,183
43:53:37,5447,184
43:58:52,5458,184
44:03:56,5471,185
44:09:05,5482,185
44:14:20,5493,185
44:19:36,5504,185
44:24:55,5516,185
44:30:21,5526,185
44:35:36,5537,185
44:40:50,5548,185
44:46:05,5559,185
44:51:20,5570,185
44:56:37,5581,185
45:01:54,5592,185
45:06:56,5599,185
45:12:11,5610,185
45:17:27,5621,185
45:22:42,5632,185
45:27:57,5643,186
45:33:12,5654,186
45:38:27,5665,186
45:43:42,5676,186
45:48:57,5687,186
45:54:19,5696,186
45:59:34,5707,186
46:04:49,5718,186
46:10:04,5729,187
46:15:18,5740,187
46:20:33,5751,187
46:25:48,5762,187
46:31:04,5773,187
46:36:19,5784,189
46:42:38,5795,189
46:47:53,5806,190
46:52:56,5817,190
46:58:11,5828,190
47:03:27,5839,190
47:08:42,5850,190
47:13:57,5861,190
47:19:12,5872,191
47:24:27,5883,192
47:29:41,5894,193
47:35:03,5903,193
47:40:18,5914,193
47:45:33,5925,193
