Time                Round               Mutate stage        Coverage            Crash found         
00:00:28            1                   0                   1                   0                   
00:05:42            12                  0                   6                   0                   
00:10:56            23                  0                   7                   0                   
00:16:10            34                  0                   11                  0                   
00:21:23            45                  0                   11                  0                   
00:26:37            56                  0                   11                  0                   
00:31:51            67                  0                   14                  0                   
00:37:05            78                  0                   14                  0                   
00:42:18            89                  0                   15                  0                   
00:48:38            100                 0                   15                  0                   
00:53:52            111                 0                   15                  0                   
00:59:06            122                 0                   15                  0                   
01:04:19            133                 0                   15                  0                   
01:09:33            144                 0                   15                  0                   
01:14:47            155                 0                   15                  0                   
01:20:00            166                 0                   16                  0                   
01:25:14            177                 0                   19                  0                   
01:30:28            188                 0                   19                  0                   
01:35:42            199                 0                   19                  0                   
01:41:02            208                 0                   19                  0                   
01:46:16            219                 0                   19                  0                   
01:51:30            230                 0                   19                  0                   
01:56:43            241                 0                   19                  0                   
02:01:57            252                 0                   19                  0                   
02:07:11            263                 0                   19                  0                   
02:12:25            274                 0                   20                  0                   
02:17:38            285                 0                   22                  0                   
02:22:52            296                 0                   22                  0                   
02:28:13            305                 0                   22                  0                   
02:33:28            316                 0                   22                  0                   
02:38:42            327                 0                   22                  0                   
02:43:55            338                 0                   23                  0                   
02:49:09            349                 0                   26                  0                   
02:54:23            360                 0                   26                  0                   
02:59:37            371                 0                   26                  0                   
03:04:51            382                 0                   26                  0                   
03:10:04            393                 0                   27                  0                   
03:15:31            402                 0                   28                  0                   
03:20:45            413                 0                   28                  0                   
03:25:59            424                 0                   28                  0                   
03:31:13            435                 0                   30                  0                   
03:36:27            446                 0                   30                  0                   
03:41:41            457                 0                   30                  0                   
03:46:55            468                 0                   30                  0                   
03:52:08            479                 0                   30                  0                   
03:57:22            490                 0                   30                  0                   
04:03:20            500                 0                   30                  0                   
04:08:34            511                 0                   30                  0                   
04:13:48            522                 0                   30                  0                   
04:19:03            533                 0                   30                  0                   
04:24:17            544                 1                   30                  0                   
04:29:30            555                 1                   31                  0                   
04:34:44            566                 1                   31                  0                   
04:39:58            577                 1                   31                  0                   
04:45:12            588                 1                   34                  0                   
04:50:25            599                 1                   37                  0                   
04:55:26            607                 1                   37                  0                   
05:00:41            618                 1                   37                  0                   
05:05:54            629                 1                   37                  0                   
05:11:08            640                 1                   37                  0                   
05:16:22            651                 1                   37                  0                   
05:21:36            662                 1                   39                  0                   
05:26:49            673                 1                   40                  0                   
05:32:03            684                 1                   42                  0                   
05:37:17            695                 1                   42                  0                   
05:42:38            704                 1                   42                  0                   
05:47:52            715                 1                   42                  0                   
05:53:06            726                 1                   43                  0                   
05:58:21            737                 1                   43                  0                   
06:03:35            748                 1                   44                  0                   
06:08:49            759                 1                   44                  0                   
06:14:02            770                 1                   44                  0                   
06:19:16            781                 1                   44                  0                   
06:24:30            792                 1                   44                  0                   
06:29:31            800                 1                   44                  0                   
06:34:46            811                 1                   44                  0                   
06:40:00            822                 1                   44                  0                   
06:45:14            833                 1                   44                  0                   
06:50:28            844                 1                   44                  0                   
06:55:41            855                 1                   46                  0                   
07:00:55            866                 1                   49                  0                   
07:06:09            877                 1                   52                  0                   
07:11:23            888                 1                   53                  0                   
07:16:37            899                 1                   53                  0                   
07:21:58            908                 1                   54                  0                   
07:27:11            919                 1                   55                  0                   
07:32:25            930                 1                   56                  0                   
07:37:39            941                 1                   57                  0                   
07:42:50            954                 1                   58                  0                   
07:48:04            965                 1                   58                  0                   
07:53:18            976                 1                   58                  0                   
07:58:33            987                 1                   58                  0                   
08:03:46            998                 1                   58                  0                   
08:08:58            1006                1                   58                  0                   
08:14:12            1017                1                   60                  0                   
08:19:26            1028                1                   60                  0                   
08:24:40            1039                1                   60                  0                   
08:29:54            1050                1                   60                  0                   
08:35:07            1061                1                   60                  0                   
08:40:21            1072                1                   60                  0                   
08:45:35            1083                1                   60                  0                   
08:50:49            1094                1                   60                  0                   
08:56:10            1103                1                   61                  0                   
09:01:24            1114                1                   61                  0                   
09:06:39            1125                1                   62                  0                   
09:11:53            1136                1                   64                  0                   
09:17:07            1147                1                   64                  0                   
09:22:21            1158                1                   64                  0                   
09:27:35            1169                1                   64                  0                   
09:32:50            1180                1                   64                  0                   
09:38:04            1191                1                   64                  0                   
09:43:39            1200                1                   64                  0                   
09:48:54            1211                1                   64                  0                   
09:54:08            1222                1                   64                  0                   
09:59:28            1234                1                   66                  0                   
10:04:34            1245                1                   67                  0                   
10:10:02            1258                1                   67                  0                   
10:15:16            1269                1                   68                  0                   
10:20:30            1280                1                   68                  0                   
10:25:44            1291                1                   68                  0                   
10:31:19            1300                1                   68                  0                   
10:36:34            1311                1                   69                  0                   
10:41:48            1322                1                   70                  0                   
10:47:02            1333                1                   71                  0                   
10:52:16            1344                1                   71                  0                   
10:57:30            1355                1                   72                  0                   
11:02:43            1366                1                   76                  0                   
11:07:57            1377                1                   76                  0                   
11:13:11            1388                1                   76                  0                   
11:18:26            1399                1                   76                  0                   
11:23:47            1408                1                   76                  0                   
11:29:01            1419                1                   76                  0                   
11:34:16            1430                1                   77                  0                   
11:39:30            1441                1                   77                  0                   
11:44:43            1452                1                   80                  0                   
11:49:57            1463                1                   81                  0                   
11:55:11            1474                1                   82                  0                   
12:00:25            1485                1                   84                  0                   
12:05:39            1496                1                   84                  0                   
12:11:00            1505                1                   84                  0                   
12:16:14            1516                1                   85                  0                   
12:21:28            1530                1                   85                  0                   
12:26:42            1541                1                   85                  0                   
12:31:56            1552                1                   85                  0                   
12:37:10            1563                1                   85                  0                   
12:42:24            1574                1                   86                  0                   
12:47:38            1585                1                   87                  0                   
12:52:52            1596                1                   87                  0                   
12:58:13            1605                1                   87                  0                   
13:03:26            1616                1                   88                  0                   
13:08:40            1627                1                   88                  0                   
13:13:54            1638                1                   88                  0                   
13:19:08            1649                1                   88                  0                   
13:24:22            1660                1                   88                  0                   
13:29:36            1671                1                   89                  0                   
13:34:50            1682                1                   92                  0                   
13:40:04            1693                1                   92                  0                   
13:45:26            1702                1                   92                  0                   
13:50:34            1709                1                   92                  1                   
13:55:49            1720                1                   92                  1                   
14:01:03            1731                1                   92                  1                   
14:06:17            1742                1                   92                  1                   
14:11:32            1753                1                   93                  1                   
14:16:46            1764                1                   93                  1                   
14:22:00            1775                1                   93                  1                   
14:27:13            1786                1                   93                  1                   
14:32:27            1797                1                   93                  1                   
14:37:42            1808                1                   93                  1                   
14:43:03            1817                1                   93                  1                   
14:48:17            1828                1                   93                  1                   
14:53:31            1839                1                   94                  1                   
14:58:45            1850                1                   95                  1                   
15:03:59            1861                1                   96                  1                   
15:09:05            1873                1                   97                  1                   
15:14:33            1885                1                   98                  1                   
15:19:47            1896                1                   99                  1                   
15:25:01            1907                1                   99                  1                   
15:30:22            1916                1                   99                  1                   
15:35:36            1927                1                   100                 1                   
15:40:50            1938                1                   100                 1                   
15:46:04            1949                1                   100                 1                   
15:51:18            1960                1                   100                 1                   
15:56:34            1971                1                   100                 1                   
16:01:48            1982                1                   100                 1                   
16:07:02            1993                1                   101                 1                   
16:12:18            2004                1                   101                 1                   
16:17:39            2013                1                   101                 1                   
16:22:53            2024                1                   101                 1                   
16:28:07            2035                1                   101                 1                   
16:33:21            2046                1                   101                 1                   
16:38:35            2057                1                   101                 1                   
16:43:49            2068                1                   103                 1                   
16:49:03            2079                1                   106                 1                   
16:54:17            2090                1                   106                 1                   
16:59:31            2101                1                   106                 1                   
17:04:52            2110                1                   106                 1                   
17:10:06            2121                1                   106                 1                   
17:15:21            2132                1                   106                 1                   
17:20:35            2143                1                   106                 1                   
17:25:49            2154                1                   107                 1                   
17:31:03            2165                1                   107                 1                   
17:36:17            2176                1                   107                 1                   
17:41:32            2187                1                   107                 1                   
17:46:46            2198                1                   107                 1                   
17:53:04            2209                1                   109                 1                   
17:58:18            2220                1                   109                 1                   
18:03:33            2231                1                   109                 1                   
18:08:47            2242                1                   109                 1                   
18:14:01            2253                1                   109                 1                   
18:19:15            2264                1                   109                 1                   
18:24:30            2275                1                   109                 1                   
18:29:44            2286                1                   109                 1                   
18:34:57            2298                1                   110                 1                   
18:41:16            2309                1                   110                 1                   
18:46:30            2320                1                   110                 1                   
18:51:44            2331                1                   110                 1                   
18:56:58            2342                1                   111                 1                   
19:02:12            2353                1                   111                 1                   
19:07:26            2364                1                   111                 1                   
19:12:40            2378                1                   111                 1                   
19:17:54            2389                1                   111                 1                   
19:23:09            2400                1                   111                 1                   
19:28:30            2409                1                   111                 1                   
19:33:44            2420                1                   111                 1                   
19:38:59            2431                1                   111                 1                   
19:44:13            2442                1                   111                 1                   
19:49:27            2453                1                   111                 1                   
19:54:41            2464                1                   112                 1                   
19:59:55            2475                1                   112                 1                   
20:05:09            2486                1                   113                 1                   
20:10:23            2497                1                   113                 1                   
20:15:39            2508                1                   113                 1                   
20:21:00            2517                1                   113                 1                   
20:26:14            2528                1                   113                 1                   
20:31:28            2539                1                   113                 1                   
