Time,Round,Coverage
0:0:0:2,0,1
0:0:2:4,5,2
0:0:2:31,6,3
0:0:3:4,7,4
0:0:3:36,8,5
0:0:4:5,9,6
0:0:4:31,10,7
0:0:5:7,11,8
0:0:8:12,17,9
0:0:8:45,18,10
0:0:12:31,25,11
0:0:13:40,27,12
0:0:16:5,32,13
0:0:17:4,34,14
0:0:17:59,36,15
0:0:18:22,37,16
0:0:23:42,48,17
0:0:28:52,58,18
0:0:35:32,72,19
0:0:39:7,79,20
0:0:40:5,81,21
0:0:44:30,89,22
0:0:47:1,94,23
0:0:47:28,95,24
0:0:53:15,105,25
0:1:0:39,120,26
0:1:3:14,125,27
0:1:8:22,135,28
0:1:11:18,141,29
0:1:14:23,147,30
0:1:22:26,162,31
0:1:27:53,173,32
0:1:28:30,174,33
0:1:30:45,178,34
0:1:32:21,181,35
0:1:32:53,182,36
0:1:35:13,187,37
0:1:51:12,217,38
0:1:59:2,233,39
0:2:0:22,236,40
0:2:2:51,241,41
0:2:3:51,243,42
0:2:6:6,248,43
0:2:7:1,250,44
0:2:7:28,251,45
0:2:10:7,256,46
0:2:11:14,258,47
0:2:22:3,281,48
0:2:27:40,293,49
0:2:29:57,297,50
0:2:34:43,304,51
0:2:46:25,327,52
0:2:51:43,338,53
0:2:53:42,342,54
0:2:58:29,352,55
0:3:2:41,361,56
0:3:18:31,393,57
0:3:46:12,446,58
0:4:11:53,498,59
0:4:19:23,511,60
0:4:45:6,563,61
0:5:3:21,601,62
0:5:15:55,626,63
0:5:33:41,662,64
0:5:44:30,684,65
0:5:48:27,692,66
0:6:56:32,825,67
0:7:20:8,873,68
0:7:53:30,938,69
0:8:28:30,1009,70
0:8:49:47,1050,71
0:9:1:4,1073,72
0:9:6:53,1085,73
0:9:23:12,1116,74
0:9:52:8,1174,75
0:10:6:56,1204,76
0:10:33:46,1256,77
0:10:42:20,1272,78
0:10:58:9,1305,79
0:11:26:14,1359,80
0:11:37:28,1382,81
0:11:47:8,1402,82
0:12:14:33,1455,83
0:12:19:45,1466,84
0:12:49:14,1524,85
0:14:17:30,1702,86
0:16:3:20,1913,87
0:16:27:9,1958,88
0:17:7:49,2038,89
0:18:0:28,2143,90
0:20:19:43,2421,91
0:20:20:47,2423,92
0:20:58:21,2488,93
0:21:7:4,2506,94
0:21:46:21,2584,95
0:21:53:10,2598,96
0:22:14:50,2639,97
1:0:12:39,2874,98
1:1:8:46,2984,99
1:5:4:56,3451,100
1:6:10:52,3580,101
1:9:55:20,4024,102
1:17:30:15,4602,103
1:17:51:32,4646,104
