Time               Round               Coverage
00:00:05          1          1
00:05:06          66          1
00:10:08          112          4
00:15:12          157          4
00:20:21          189          4
00:25:23          241          5
00:30:25          288          5
00:35:39          308          5
00:40:48          360          5
00:46:20          400          5
00:51:22          439          5
00:57:00          500          5
01:02:05          537          6
01:07:08          591          6
01:12:13          622          8
01:17:31          642          8
01:22:40          693          8
01:27:46          715          8
01:32:53          733          8
01:39:08          800          8
01:44:13          831          8
01:49:20          870          8
01:54:23          910          8
01:59:35          929          8
02:04:36          965          8
02:09:49          1021          9
02:14:49          1037          9
02:19:55          1080          9
02:25:02          1122          11
02:30:09          1152          11
02:35:12          1168          11
02:40:13          1203          12
02:45:15          1259          12
02:50:23          1285          12
02:55:24          1302          15
03:00:28          1347          15
03:05:29          1386          15
03:10:30          1430          17
03:15:32          1462          17
03:20:38          1484          17
03:26:52          1500          17
03:31:52          1566          17
03:37:52          1600          17
03:42:55          1646          17
03:47:57          1681          17
03:53:01          1701          17
03:58:03          1748          17
04:03:54          1800          17
04:08:59          1832          18
04:14:09          1883          18
04:19:14          1914          18
04:24:20          1942          18
04:29:23          1958          18
04:34:25          2005          19
04:39:34          2050          19
04:45:15          2100          19
04:50:26          2165          20
04:55:28          2185          20
05:00:28          2200          20
05:05:30          2238          21
05:10:31          2289          21
05:15:33          2324          24
05:20:36          2352          24
05:25:38          2399          24
05:30:38          2452          26
05:35:40          2481          26
05:41:10          2500          26
05:46:15          2520          26
05:51:16          2547          26
05:56:29          2598          26
06:01:30          2631          27
06:06:36          2686          27
06:11:38          2711          29
06:16:47          2760          29
06:21:51          2813          29
06:26:53          2851          29
06:31:54          2869          29
06:36:56          2912          30
06:41:57          2966          30
06:48:03          3000          30
06:53:17          3039          30
06:58:17          3081          30
07:03:20          3117          33
07:08:25          3159          33
07:13:38          3200          33
07:18:41          3266          34
07:23:48          3290          34
07:29:04          3305          34
07:34:04          3324          34
07:39:22          3341          34
07:44:23          3391          34
07:49:24          3423          34
07:54:26          3458          34
07:59:29          3486          34
08:04:38          3509          38
08:09:39          3533          38
08:14:53          3577          38
08:20:18          3600          38
08:25:24          3647          41
08:30:28          3685          41
08:35:33          3746          41
08:40:36          3789          41
08:45:37          3803          41
08:50:42          3823          41
08:55:51          3843          41
09:00:51          3879          41
09:06:00          3913          41
09:11:01          3961          41
09:16:02          3991          41
09:21:13          4018          44
09:26:13          4057          44
09:31:30          4081          44
09:36:41          4095          44
09:41:47          4113          46
09:46:48          4149          46
09:51:52          4179          46
09:57:11          4200          46
10:02:13          4247          47
10:07:13          4284          47
10:12:14          4331          48
10:17:27          4396          48
10:22:39          4418          48
10:27:42          4437          48
10:32:57          4456          48
10:38:38          4500          48
10:43:38          4546          48
10:48:38          4568          48
10:53:44          4608          50
10:58:46          4643          50
11:03:52          4668          50
11:08:59          4692          50
11:14:11          4722          50
11:19:28          4749          50
11:24:35          4764          50
11:29:40          4778          50
11:34:51          4798          50
11:40:01          4810          53
11:45:02          4843          53
11:50:04          4875          53
11:55:05          4901          53
12:00:06          4934          53
12:05:51          5000          53
12:10:57          5050          53
12:16:04          5097          53
12:21:12          5117          53
12:26:27          5136          53
12:31:27          5155          53
12:36:27          5171          53
12:41:29          5212          53
12:46:35          5252          53
12:51:46          5290          53
12:56:59          5323          55
13:02:03          5347          55
13:07:04          5380          55
13:12:13          5416          56
13:17:14          5443          56
13:22:23          5463          56
13:27:27          5487          56
13:33:16          5500          56
13:38:26          5515          58
13:43:38          5531          58
13:48:53          5565          58
13:54:10          5580          58
13:59:15          5612          60
14:04:30          5634          60
14:09:34          5664          60
14:14:35          5692          60
14:19:51          5713          60
14:25:01          5752          60
14:30:04          5798          60
14:35:07          5861          60
14:40:21          5910          60
14:45:22          5931          60
14:50:22          5950          60
14:55:32          5966          60
15:00:41          6005          61
15:05:41          6048          61
15:10:46          6075          61
15:15:50          6096          61
15:20:54          6149          63
15:25:55          6176          63
15:31:08          6200          63
15:36:10          6238          64
15:41:18          6271          64
15:46:29          6302          65
15:51:33          6321          65
15:56:43          6345          65
16:01:55          6365          65
16:07:05          6377          65
16:12:19          6392          65
16:17:42          6403          69
16:22:43          6430          69
16:27:51          6453          69
16:32:56          6474          69
16:38:41          6500          69
16:43:55          6535          71
16:49:02          6565          71
16:54:07          6605          71
16:59:08          6644          71
17:04:09          6686          71
17:09:12          6743          71
17:14:20          6790          71
17:19:29          6815          71
17:24:39          6848          71
17:29:44          6869          71
17:34:51          6901          71
17:39:56          6939          71
17:45:03          6973          71
17:50:06          7004          74
17:55:20          7028          74
18:00:22          7057          74
18:06:26          7100          74
18:11:38          7114          75
18:16:38          7133          75
18:21:48          7169          75
18:27:09          7200          75
18:32:18          7229          75
18:37:25          7259          75
18:42:35          7278          75
18:47:39          7299          75
18:52:56          7328          75
18:58:08          7353          75
19:03:10          7365          75
19:08:11          7377          75
19:13:13          7394          75
19:18:24          7405          77
19:23:25          7421          77
19:28:32          7448          77
19:33:36          7464          77
19:38:36          7477          77
19:44:08          7500          77
19:49:08          7516          79
19:54:20          7551          79
19:59:30          7578          79
20:05:10          7600          79
20:10:18          7632          79
20:15:25          7669          79
20:20:32          7705          80
20:25:34          7760          80
20:31:01          7800          80
20:36:08          7845          80
20:41:22          7866          80
20:46:31          7885          80
20:51:46          7901          80
20:56:53          7964          80
21:02:03          8000          80
21:07:06          8037          80
21:12:20          8064          80
21:17:23          8095          80
21:22:24          8125          81
21:27:27          8162          81
21:32:28          8186          81
21:37:30          8200          81
21:42:36          8240          81
21:47:36          8268          81
21:52:50          8284          81
21:58:54          8300          81
22:04:05          8327          82
22:09:11          8370          82
22:14:19          8387          82
22:19:27          8401          82
22:24:27          8444          82
22:29:45          8470          82
22:35:04          8486          82
22:40:23          8503          85
22:45:28          8518          85
22:50:31          8546          85
22:55:38          8558          85
23:00:38          8574          85
23:05:55          8603          85
23:11:07          8629          85
23:16:07          8645          85
23:21:18          8669          85
23:26:18          8717          85
23:31:32          8749          85
23:36:37          8788          85
23:41:43          8806          85
23:46:51          8836          85
23:51:53          8883          85
23:56:53          8919          85
24:01:59          8983          85
24:07:03          9030          85
24:12:08          9050          85
24:17:10          9070          85
24:22:20          9098          85
24:27:23          9131          85
24:32:24          9174          85
24:37:29          9202          85
24:42:39          9233          85
24:47:54          9256          85
24:53:08          9285          85
24:58:43          9300          85
25:03:51          9329          86
25:08:52          9369          86
25:14:10          9394          86
25:19:14          9409          89
25:24:20          9464          89
25:29:25          9490          89
25:34:36          9509          89
25:39:38          9556          89
25:44:43          9591          89
25:49:49          9610          91
25:55:09          9640          91
26:00:16          9659          91
26:05:29          9680          91
26:10:55          9700          91
26:16:11          9734          91
26:21:34          9764          91
26:26:55          9783          91
26:32:21          9798          91
26:37:32          9809          94
26:42:33          9824          94
26:47:35          9839          94
26:52:45          9857          94
26:57:45          9873          94
27:02:57          9907          96
27:08:00          9923          96
27:13:00          9936          96
27:18:04          9958          96
27:23:14          9976          96
27:28:43          10000          96
27:33:50          10015          98
27:38:53          10046          98
27:43:59          10095          98
27:49:50          10113          98
27:54:58          10152          98
28:00:05          10197          98
28:05:06          10238          98
28:10:13          10281          98
28:15:19          10312          98
28:20:24          10339          98
28:25:44          10360          98
28:30:46          10380          98
28:35:50          10398          98
28:40:56          10449          99
28:45:56          10498          99
28:51:02          10526          99
28:56:07          10544          99
29:01:08          10571          99
29:06:10          10594          99
29:11:27          10617          101
29:16:32          10632          101
29:21:36          10659          101
29:26:42          10690          101
29:31:59          10708          103
29:37:01          10743          103
29:42:02          10767          103
29:47:08          10787          103
29:52:25          10813          103
29:57:31          10850          103
30:02:36          10897          103
30:07:44          10922          104
30:12:53          10942          104
30:18:00          11008          105
30:23:01          11040          105
30:28:16          11065          105
30:33:16          11081          105
30:38:23          11097          105
30:43:39          11115          105
30:48:40          11136          105
30:53:50          11158          105
30:58:55          11181          105
31:05:07          11213          106
31:10:10          11229          106
31:15:14          11248          106
31:20:34          11260          106
31:25:43          11276          106
31:30:55          11293          106
31:37:03          11313          110
31:42:32          11325          110
31:47:35          11336          110
31:52:40          11356          110
31:57:52          11379          110
32:03:06          11402          110
32:08:29          11414          110
32:13:29          11430          110
32:18:32          11455          110
32:23:45          11471          110
32:28:57          11513          111
32:33:59          11557          111
32:39:12          11581          111
32:45:13          11613          111
32:50:28          11650          111
32:55:36          11694          111
33:00:40          11727          111
33:05:44          11775          111
33:10:45          11822          111
33:15:47          11854          111
33:20:49          11910          111
33:26:02          11934          111
33:31:03          11955          111
33:36:04          11976          111
33:41:05          11995          111
33:46:11          12046          112
33:51:21          12092          112
33:56:25          12130          112
34:01:27          12151          112
34:06:40          12184          112
34:11:44          12212          117
34:16:47          12230          117
34:21:51          12258          117
34:27:08          12278          117
34:32:17          12304          119
34:37:27          12316          119
34:42:36          12350          119
34:47:36          12366          119
34:52:48          12383          119
34:58:07          12413          119
35:03:07          12444          119
35:08:14          12460          119
35:13:17          12485          119
35:18:41          12513          121
35:23:46          12543          121
35:28:48          12557          121
35:34:02          12571          121
35:39:03          12589          121
35:44:04          12645          121
35:49:51          12681          121
35:54:54          12710          122
36:00:08          12754          122
36:05:15          12775          122
36:10:21          12788          122
36:15:25          12821          122
36:20:26          12848          122
36:25:46          12875          122
36:30:56          12902          122
36:36:12          12926          122
36:41:16          12941          122
36:46:18          12953          122
36:52:43          12981          122
36:58:03          12993          122
37:03:14          13013          126
37:08:33          13032          126
37:13:37          13048          126
37:18:40          13073          126
37:23:57          13082          126
37:29:05          13093          126
37:34:25          13114          128
37:39:47          13136          128
37:44:49          13153          128
37:50:09          13171          128
37:55:20          13184          128
38:00:22          13208          130
38:05:31          13227          130
38:10:40          13244          130
38:15:41          13277          130
38:20:55          13300          130
38:26:00          13326          130
38:31:05          13349          130
38:36:06          13388          130
38:41:07          13427          130
38:46:10          13467          130
38:51:11          13494          130
38:56:16          13553          130
39:01:20          13597          130
39:06:20          13628          130
39:11:22          13669          130
39:16:24          13698          130
39:21:25          13722          130
39:26:31          13742          130
39:31:36          13765          130
39:37:50          13781          130
39:42:54          13802          130
39:47:55          13829          130
39:53:34          13881          130
39:58:36          13917          130
40:03:38          13949          130
40:08:38          13980          130
40:13:41          14008          131
40:18:44          14031          131
40:23:45          14058          131
40:28:57          14080          131
40:33:59          14094          131
40:39:01          14120          134
40:44:11          14145          134
40:49:11          14158          134
40:54:20          14177          134
40:59:26          14190          134
41:04:48          14206          137
41:09:58          14242          137
41:15:08          14261          137
41:21:14          14281          137
41:26:17          14318          137
41:31:37          14342          137
41:36:55          14356          137
41:42:04          14381          137
41:47:11          14411          138
41:52:15          14456          138
41:57:27          14478          138
42:02:34          14498          138
42:07:40          14535          138
42:12:45          14573          138
42:17:48          14592          138
42:22:52          14631          138
42:27:59          14665          138
42:33:00          14695          138
42:38:08          14712          140
42:43:13          14744          140
42:48:27          14762          140
