Time                Round               Mutate stage        Coverage            Crash found         
00:00:20            1                   0                   2                   0                   
00:05:28            16                  0                   6                   0                   
00:10:37            31                  0                   10                  0                   
00:15:45            46                  0                   11                  0                   
00:20:56            61                  0                   11                  0                   
00:26:05            76                  0                   12                  0                   
00:31:17            91                  0                   14                  0                   
00:37:16            94                  0                   15                  1                   
00:42:24            109                 0                   15                  1                   
00:47:35            124                 0                   16                  1                   
00:52:44            139                 0                   16                  1                   
00:57:54            154                 0                   16                  1                   
01:03:02            169                 0                   16                  1                   
01:08:10            184                 0                   16                  1                   
01:13:19            199                 0                   19                  1                   
01:18:30            214                 0                   20                  1                   
01:23:38            229                 0                   20                  1                   
01:28:46            244                 0                   20                  1                   
01:33:55            259                 0                   21                  1                   
01:39:04            274                 0                   22                  1                   
01:44:13            289                 0                   22                  1                   
01:49:21            304                 0                   23                  1                   
01:54:29            319                 0                   23                  1                   
01:59:37            334                 0                   23                  1                   
02:04:46            349                 0                   23                  1                   
02:09:54            364                 0                   23                  1                   
02:15:02            379                 0                   23                  1                   
02:20:10            394                 0                   23                  1                   
02:25:19            409                 0                   23                  1                   
02:30:27            424                 1                   23                  1                   
02:35:36            439                 1                   23                  1                   
02:40:44            454                 1                   24                  1                   
02:45:53            469                 1                   24                  1                   
02:51:01            484                 1                   24                  1                   
02:56:09            499                 1                   25                  1                   
03:01:18            514                 1                   25                  1                   
03:06:26            529                 1                   25                  1                   
03:11:35            544                 1                   25                  1                   
03:16:43            559                 1                   25                  1                   
03:21:51            574                 1                   25                  1                   
03:26:55            585                 1                   27                  2                   
03:32:13            600                 1                   27                  2                   
03:37:22            615                 1                   28                  2                   
03:42:31            630                 1                   29                  2                   
03:47:40            645                 1                   30                  2                   
03:52:48            660                 1                   31                  2                   
03:57:57            675                 1                   31                  2                   
04:03:07            690                 1                   32                  2                   
04:08:16            705                 1                   32                  2                   
04:13:25            720                 1                   32                  2                   
04:18:34            735                 1                   32                  2                   
04:23:42            750                 1                   32                  2                   
04:28:51            765                 1                   32                  2                   
04:34:00            780                 1                   32                  2                   
04:39:09            795                 1                   32                  2                   
04:44:17            810                 1                   32                  2                   
04:49:26            825                 1                   32                  2                   
04:54:35            840                 1                   32                  2                   
04:59:43            855                 1                   32                  2                   
05:04:53            870                 1                   32                  2                   
05:10:02            885                 1                   34                  2                   
05:15:11            900                 1                   35                  2                   
05:20:21            915                 1                   35                  2                   
05:25:30            930                 1                   35                  2                   
05:30:38            945                 1                   35                  2                   
05:35:46            960                 1                   35                  2                   
05:40:55            975                 1                   35                  2                   
05:46:03            990                 1                   35                  2                   
05:51:11            1005                1                   35                  2                   
05:56:20            1020                1                   35                  2                   
06:01:28            1035                1                   35                  2                   
06:06:36            1050                1                   35                  2                   
06:11:45            1065                1                   35                  2                   
06:17:37            1079                1                   35                  2                   
06:22:45            1094                1                   35                  2                   
06:27:54            1109                2                   35                  2                   
06:33:02            1124                2                   35                  2                   
06:38:10            1139                2                   35                  2                   
06:43:19            1154                2                   35                  2                   
06:48:27            1169                2                   35                  2                   
06:53:36            1184                2                   35                  2                   
06:58:44            1199                2                   35                  2                   
07:03:54            1214                2                   38                  2                   
07:09:02            1229                2                   38                  2                   
07:14:10            1244                2                   39                  2                   
07:19:19            1259                2                   41                  2                   
07:24:27            1274                2                   41                  2                   
07:29:35            1289                2                   41                  2                   
07:34:43            1304                2                   41                  2                   
07:39:52            1319                2                   41                  2                   
07:45:00            1334                2                   41                  2                   
07:50:09            1349                2                   41                  2                   
07:55:17            1364                2                   43                  2                   
08:00:25            1379                2                   44                  2                   
