Time,Round,Coverage
00:00:20,1,2
00:05:28,16,6
00:10:37,31,10
00:15:45,46,11
00:20:56,61,11
00:26:05,76,12
00:31:17,91,14
00:37:16,94,15
00:42:24,109,15
00:47:35,124,16
00:52:44,139,16
00:57:54,154,16
01:03:02,169,16
01:08:10,184,16
01:13:19,199,19
01:18:30,214,20
01:23:38,229,20
01:28:46,244,20
01:33:55,259,21
01:39:04,274,22
01:44:13,289,22
01:49:21,304,23
01:54:29,319,23
01:59:37,334,23
02:04:46,349,23
02:09:54,364,23
02:15:02,379,23
02:20:10,394,23
02:25:19,409,23
02:30:27,424,23
02:35:36,439,23
02:40:44,454,24
02:45:53,469,24
02:51:01,484,24
02:56:09,499,25
03:01:18,514,25
03:06:26,529,25
03:11:35,544,25
03:16:43,559,25
03:21:51,574,25
03:26:55,585,27
03:32:13,600,27
03:37:22,615,28
03:42:31,630,29
03:47:40,645,30
03:52:48,660,31
03:57:57,675,31
04:03:07,690,32
04:08:16,705,32
04:13:25,720,32
04:18:34,735,32
04:23:42,750,32
04:28:51,765,32
04:34:00,780,32
04:39:09,795,32
04:44:17,810,32
04:49:26,825,32
04:54:35,840,32
04:59:43,855,32
05:04:53,870,32
05:10:02,885,34
05:15:11,900,35
05:20:21,915,35
05:25:30,930,35
05:30:38,945,35
05:35:46,960,35
05:40:55,975,35
05:46:03,990,35
05:51:11,1005,35
05:56:20,1020,35
06:01:28,1035,35
06:06:36,1050,35
06:11:45,1065,35
06:17:37,1079,35
06:22:45,1094,35
06:27:54,1109,35
06:33:02,1124,35
06:38:10,1139,35
06:43:19,1154,35
06:48:27,1169,35
06:53:36,1184,35
06:58:44,1199,35
07:03:54,1214,38
07:09:02,1229,38
07:14:10,1244,39
07:19:19,1259,41
07:24:27,1274,41
07:29:35,1289,41
07:34:43,1304,41
07:39:52,1319,41
07:45:00,1334,41
07:50:09,1349,41
07:55:17,1364,43
08:00:25,1379,44
08:05:35,1394,44
08:10:45,1409,44
08:15:53,1424,44
08:21:01,1439,45
08:26:10,1454,45
08:31:18,1469,47
08:36:27,1484,49
08:41:35,1499,49
08:46:44,1514,49
08:51:52,1529,49
08:57:01,1544,50
09:02:09,1559,50
09:07:18,1574,50
