Time,Round,Coverage
0:0:0:2,1,1
0:0:0:17,2,2
0:0:1:19,6,3
0:0:1:52,8,4
0:0:2:9,9,5
0:0:2:23,10,6
0:0:2:37,11,7
0:0:2:53,12,8
0:0:3:8,13,9
0:0:3:53,16,10
0:0:4:9,17,11
0:0:4:55,20,12
0:0:5:28,22,13
0:0:5:43,23,14
0:0:5:59,24,15
0:0:6:14,25,16
0:0:6:45,27,17
0:0:8:55,35,18
0:0:9:25,37,19
0:0:11:12,44,20
0:0:15:11,56,21
0:0:19:14,71,22
0:0:21:54,81,23
0:0:24:3,89,24
0:0:24:36,91,25
0:0:29:37,106,26
0:0:29:52,107,27
0:0:31:6,112,28
0:0:33:12,120,29
0:0:38:30,140,30
0:0:40:18,147,31
0:0:45:48,164,32
0:0:46:2,165,33
0:0:51:7,184,34
0:0:51:24,185,35
0:1:0:41,216,36
0:1:5:9,233,37
0:1:8:2,244,38
0:1:19:18,283,39
0:1:20:21,287,40
0:1:21:8,290,41
0:1:36:34,344,42
0:1:38:27,351,43
0:1:43:50,367,44
0:1:55:37,408,45
0:2:6:37,446,46
0:2:21:18,499,47
0:2:22:59,505,48
0:2:46:17,585,49
0:2:49:52,598,50
0:2:50:25,600,51
0:2:54:29,615,52
0:3:6:23,657,53
0:3:11:46,674,54
0:3:16:30,692,55
0:3:22:53,716,56
0:3:33:34,753,57
0:3:55:1,828,58
0:4:9:38,879,59
0:4:13:47,895,60
0:4:14:51,899,61
0:4:27:28,944,62
0:4:32:36,964,63
0:4:56:6,1045,64
0:4:57:21,1050,65
0:5:7:26,1084,66
0:5:15:15,1114,67
0:5:19:14,1125,68
0:7:5:34,1442,69
0:7:12:31,1465,70
0:8:11:28,1671,71
0:8:19:8,1696,72
0:8:56:28,1827,73
0:9:1:4,1844,74
0:9:44:8,1996,75
0:9:51:20,2023,76
0:10:24:19,2136,77
0:11:41:50,2409,78
0:11:44:33,2419,79
0:11:49:7,2436,80
0:11:56:9,2459,81
0:12:47:43,2566,82
0:13:21:8,2684,83
0:13:53:45,2799,84
0:14:47:24,2979,85
0:15:28:32,3125,86
0:15:56:28,3219,87
0:16:30:36,3340,88
0:16:55:52,3427,89
0:17:18:56,3510,90
0:17:59:23,3651,91
0:18:35:54,3778,92
0:19:14:43,3913,93
0:19:42:57,4012,94
0:19:44:0,4016,95
0:20:50:53,4250,96
0:20:54:6,4258,97
0:22:51:10,4669,98
1:0:47:36,5076,99
1:3:24:46,5584,100
1:4:8:29,5733,101
1:5:46:24,6057,102
1:8:19:15,6575,103
1:8:35:50,6618,104
1:8:56:42,6677,105
1:10:44:52,7027,106
1:12:43:28,7445,107
1:15:14:44,7976,108
1:15:15:47,7980,109
1:15:59:13,8132,110
1:21:54:22,9361,111
1:23:3:24,9575,112
2:0:19:33,9783,113
