Time,Round,Coverage
00:00:05,1,2
00:05:15,49,6
00:11:13,100,7
00:16:22,128,7
00:21:25,171,7
00:26:45,200,7
00:31:51,254,7
00:36:53,298,7
00:41:55,329,7
00:47:09,385,9
00:52:18,415,9
00:57:19,472,11
01:02:21,500,12
01:07:21,551,12
01:12:22,590,13
01:17:27,627,13
01:22:29,692,15
01:27:38,722,16
01:32:40,775,16
01:37:46,829,21
01:42:47,873,21
01:48:15,900,21
01:53:19,962,22
01:58:19,990,27
02:03:23,1023,29
02:08:26,1069,29
02:13:31,1098,30
02:18:44,1124,30
02:23:44,1184,30
02:28:48,1211,30
02:33:51,1242,30
02:38:51,1267,32
02:43:55,1300,34
02:49:03,1344,35
02:54:05,1367,35
02:59:09,1402,35
03:04:13,1444,35
03:09:57,1500,36
03:15:01,1537,36
03:20:06,1560,36
03:25:06,1590,36
03:30:09,1641,38
03:35:15,1690,38
03:40:23,1715,39
03:45:28,1742,39
03:50:37,1773,39
03:55:39,1820,39
04:00:39,1851,41
04:05:49,1887,41
04:11:06,1921,41
04:16:08,1956,42
04:21:19,2000,43
04:26:27,2056,44
04:31:30,2090,46
04:36:37,2108,47
04:41:37,2133,47
04:46:42,2159,47
04:51:52,2209,47
04:57:06,2236,49
05:02:11,2268,49
05:07:12,2295,49
05:12:12,2316,49
05:17:27,2336,49
05:22:36,2379,49
05:27:41,2437,49
05:32:41,2483,51
05:37:48,2507,51
05:42:50,2536,51
05:47:51,2572,53
05:53:28,2600,53
05:58:33,2670,53
06:03:36,2700,53
06:08:48,2725,53
06:13:57,2766,54
06:19:07,2799,54
06:24:09,2851,54
06:29:26,2900,55
06:34:30,2960,56
06:39:40,2997,57
06:44:47,3032,57
06:49:56,3057,57
06:55:07,3083,57
07:00:17,3111,58
07:05:25,3143,58
07:10:39,3199,59
07:15:42,3223,59
07:20:42,3245,59
07:25:42,3276,59
07:30:49,3318,60
07:36:04,3346,60
07:41:07,3398,61
07:46:13,3460,61
07:51:14,3505,61
07:56:18,3541,63
08:01:18,3572,63
08:06:28,3601,63
08:11:30,3642,63
08:16:47,3669,64
08:21:55,3698,64
08:27:08,3721,64
08:32:13,3774,66
08:37:15,3800,66
08:42:16,3833,67
08:47:18,3868,67
08:53:15,3900,68
08:58:28,3934,69
09:03:45,3951,69
09:08:47,3983,69
09:13:50,4028,69
09:18:52,4089,69
09:23:58,4123,69
09:28:58,4139,70
09:34:03,4182,70
09:39:06,4209,71
09:44:13,4237,71
09:49:21,4263,71
09:54:37,4299,72
09:59:38,4320,72
10:04:46,4352,72
10:09:53,4405,72
10:14:53,4433,74
10:19:54,4471,75
10:25:05,4495,76
10:30:07,4524,76
10:35:07,4555,77
10:40:15,4578,77
10:45:23,4613,77
10:50:37,4633,77
10:55:41,4675,77
11:00:44,4708,77
11:05:47,4783,77
11:10:58,4806,77
11:16:12,4823,78
11:21:17,4855,78
11:26:18,4891,78
11:31:27,4913,80
11:36:33,4939,80
11:41:41,4965,81
11:47:34,5000,81
11:52:46,5034,82
11:57:52,5065,82
12:02:54,5118,83
12:07:54,5140,83
12:13:01,5173,86
12:18:20,5191,86
12:23:23,5204,86
12:28:35,5220,87
12:33:42,5256,87
12:38:52,5295,88
12:44:03,5318,89
12:49:13,5345,90
12:54:16,5367,90
12:59:25,5387,90
13:04:27,5410,90
13:09:28,5461,90
13:14:34,5509,90
13:19:44,5557,90
13:24:56,5579,90
13:30:14,5593,90
13:35:15,5625,90
13:40:20,5657,90
13:45:20,5679,91
13:50:24,5706,92
13:55:32,5732,92
14:00:41,5757,92
14:05:41,5776,92
14:10:44,5801,92
14:15:49,5839,92
14:20:54,5862,92
14:25:57,5925,92
14:31:07,5946,92
14:36:12,5972,92
14:41:23,6000,92
14:46:25,6038,93
14:51:37,6066,93
14:57:22,6100,93
15:02:32,6139,93
15:07:44,6165,93
15:12:46,6191,95
15:17:47,6214,95
15:22:54,6239,96
15:28:06,6270,96
15:33:12,6286,96
15:38:18,6328,96
15:43:20,6366,96
15:48:22,6412,96
15:53:23,6455,96
15:58:32,6474,96
16:03:40,6488,97
16:08:43,6504,97
16:13:52,6552,97
16:19:04,6586,97
16:24:05,6601,97
16:29:07,6642,97
16:34:19,6667,97
16:39:20,6691,97
16:44:21,6715,97
16:49:32,6756,97
16:54:38,6793,97
16:59:45,6851,98
17:04:50,6880,98
17:09:58,6900,99
17:15:10,6923,100
