Time                Round               Mutate stage        Coverage            Crash found         
00:00:05            1                   0                   2                   0                   
00:05:15            49                  0                   6                   0                   
00:11:13            100                 0                   7                   0                   
00:16:22            128                 0                   7                   0                   
00:21:25            171                 0                   7                   0                   
00:26:45            200                 0                   7                   0                   
00:31:51            254                 1                   7                   0                   
00:36:53            298                 1                   7                   0                   
00:41:55            329                 2                   7                   0                   
00:47:09            385                 2                   9                   0                   
00:52:18            415                 2                   9                   0                   
00:57:19            472                 2                   11                  0                   
01:02:21            500                 2                   12                  0                   
01:07:21            551                 2                   12                  0                   
01:12:22            590                 2                   13                  0                   
01:17:27            627                 2                   13                  0                   
01:22:29            692                 2                   15                  0                   
01:27:38            722                 2                   16                  0                   
01:32:40            775                 2                   16                  0                   
01:37:46            829                 2                   21                  0                   
01:42:47            873                 2                   21                  0                   
01:48:15            900                 2                   21                  0                   
01:53:19            962                 2                   22                  0                   
01:58:19            990                 2                   27                  0                   
02:03:23            1023                2                   29                  0                   
02:08:26            1069                2                   29                  0                   
02:13:31            1098                2                   30                  0                   
02:18:44            1124                2                   30                  0                   
02:23:44            1184                2                   30                  0                   
02:28:48            1211                2                   30                  0                   
02:33:51            1242                2                   30                  0                   
02:38:51            1267                2                   32                  0                   
02:43:55            1300                2                   34                  0                   
02:49:03            1344                2                   35                  0                   
02:54:05            1367                2                   35                  0                   
02:59:09            1402                2                   35                  0                   
03:04:13            1444                2                   35                  0                   
03:09:57            1500                2                   36                  0                   
03:15:01            1537                2                   36                  0                   
03:20:06            1560                2                   36                  0                   
03:25:06            1590                2                   36                  0                   
03:30:09            1641                2                   38                  0                   
03:35:15            1690                2                   38                  0                   
03:40:23            1715                2                   39                  0                   
03:45:28            1742                2                   39                  0                   
03:50:37            1773                2                   39                  0                   
03:55:39            1820                2                   39                  0                   
04:00:39            1851                2                   41                  0                   
04:05:49            1887                2                   41                  0                   
04:11:06            1921                2                   41                  0                   
04:16:08            1956                2                   42                  0                   
04:21:19            2000                2                   43                  0                   
04:26:27            2056                2                   44                  0                   
04:31:30            2090                2                   46                  0                   
04:36:37            2108                2                   47                  0                   
04:41:37            2133                2                   47                  0                   
04:46:42            2159                2                   47                  0                   
04:51:52            2209                2                   47                  0                   
04:57:06            2236                2                   49                  0                   
05:02:11            2268                2                   49                  0                   
05:07:12            2295                2                   49                  0                   
