Time,Round,Coverage
00:00:21,1,2
00:05:24,15,10
00:10:26,29,12
00:15:28,43,12
00:20:29,54,12
00:25:31,68,14
00:30:33,82,18
00:35:35,96,18
00:40:36,107,21
00:45:38,121,22
00:50:40,135,23
00:55:42,149,25
01:00:52,160,25
01:05:54,174,26
01:10:57,188,27
01:16:19,200,28
01:21:21,214,28
01:26:24,228,28
01:31:26,242,29
01:36:27,253,29
01:41:29,267,30
01:46:31,281,32
01:51:33,295,34
01:56:48,306,34
02:01:50,320,34
02:06:52,334,34
02:11:54,348,35
02:16:56,359,35
02:21:58,373,35
02:27:00,387,36
02:32:58,400,36
02:38:00,414,36
02:43:03,428,36
02:48:07,442,38
02:53:08,453,42
02:58:10,467,42
03:03:13,481,42
03:08:15,495,48
03:13:18,506,50
03:18:22,520,50
03:23:24,534,50
03:28:27,548,50
03:33:28,559,50
03:38:30,573,51
03:43:32,587,51
03:49:17,600,51
03:54:19,614,51
03:59:21,628,51
04:04:24,642,51
04:09:26,653,51
04:14:28,667,52
04:19:30,681,52
04:24:32,695,52
04:29:34,706,52
04:34:37,720,52
04:39:39,734,52
04:45:03,746,52
04:50:06,760,52
04:55:09,774,52
05:00:11,788,52
05:05:13,799,52
05:10:15,813,52
05:15:18,827,55
05:20:20,841,55
05:25:36,852,55
05:30:38,866,56
05:35:40,880,58
05:40:43,894,58
05:45:44,905,58
05:50:47,919,59
05:55:49,933,59
06:01:34,946,59
06:06:36,960,61
06:11:39,974,64
06:16:41,988,65
06:21:43,999,65
06:26:45,1013,65
06:32:01,1028,68
06:37:03,1042,68
06:42:05,1053,68
06:47:07,1067,69
06:52:09,1081,71
06:57:12,1095,71
07:02:13,1106,71
07:07:15,1120,71
07:12:17,1134,71
07:17:40,1146,72
07:22:42,1160,72
07:27:45,1174,73
07:32:46,1188,73
07:37:48,1199,73
07:42:50,1213,73
07:47:52,1227,73
07:52:55,1241,73
07:58:10,1252,73
08:03:12,1266,73
08:08:15,1280,73
08:13:17,1294,73
08:18:18,1305,73
08:23:20,1319,73
08:28:22,1333,73
08:34:07,1346,73
08:39:09,1360,73
08:44:11,1374,73
08:49:13,1388,75
08:54:15,1399,75
08:59:17,1413,75
09:04:26,1429,76
09:09:28,1443,76
09:14:29,1454,76
09:19:32,1468,77
09:24:34,1482,77
09:30:32,1496,77
09:35:34,1510,77
09:40:36,1524,78
09:45:38,1538,79
09:50:40,1549,79
09:55:55,1564,80
10:00:58,1578,80
10:06:00,1592,80
10:11:07,1603,80
10:16:09,1617,80
10:21:11,1631,81
10:26:14,1645,82
10:31:29,1656,82
10:36:32,1670,82
10:41:34,1684,83
10:46:50,1695,84
10:51:52,1709,84
10:57:41,1720,84
11:02:43,1734,84
11:07:46,1748,86
11:12:49,1762,86
11:17:50,1773,87
11:22:52,1787,87
11:27:55,1801,87
11:32:57,1815,88
11:37:59,1826,88
11:43:01,1840,88
11:48:03,1854,88
11:53:05,1868,88
11:58:26,1879,88
12:03:28,1893,88
12:08:31,1907,88
12:14:15,1920,88
12:19:18,1934,89
12:24:20,1948,89
12:29:22,1962,92
12:34:43,1973,92
12:39:47,1990,94
12:44:49,2004,94
12:49:51,2018,94
12:54:53,2029,94
12:59:55,2043,94
13:04:58,2057,96
13:10:42,2070,96
13:15:44,2084,96
13:20:47,2098,96
13:25:49,2112,96
13:31:05,2123,96
13:36:08,2137,96
13:41:10,2151,96
13:46:13,2166,96
13:51:14,2177,96
13:56:16,2191,96
14:01:18,2205,99
14:06:21,2219,99
14:11:22,2230,99
14:16:25,2244,101
14:21:27,2258,104
14:26:50,2270,105
14:31:52,2284,105
14:36:55,2298,106
14:41:57,2312,107
14:46:59,2323,108
14:52:02,2337,111
14:57:05,2351,113
15:02:08,2365,113
15:07:15,2376,113
15:12:17,2390,113
15:17:20,2404,113
15:22:22,2418,113
15:27:24,2429,113
15:32:26,2443,113
15:37:29,2457,113
15:43:15,2470,114
15:48:17,2484,114
15:53:42,2497,114
15:58:44,2508,114
16:03:46,2522,114
16:08:49,2536,114
16:14:13,2548,114
16:19:16,2562,115
16:24:18,2576,117
16:29:21,2590,119
16:34:42,2601,119
16:39:44,2615,119
16:44:47,2629,119
16:49:49,2643,119
16:55:05,2654,119
17:00:07,2668,119
17:05:10,2682,119
17:10:12,2693,120
17:15:14,2707,120
17:20:17,2721,120
17:25:19,2735,120
17:30:21,2746,120
17:35:23,2760,120
17:40:26,2774,120
17:45:28,2788,121
17:50:30,2799,121
17:55:33,2813,121
18:00:35,2827,121
18:05:37,2841,123
18:10:39,2852,123
18:15:53,2868,124
18:20:56,2882,124
18:26:03,2895,124
18:31:24,2911,124
18:36:26,2925,124
18:41:28,2939,124
18:46:30,2950,124
18:51:33,2964,125
18:56:35,2978,127
19:01:38,2992,130
19:06:40,3003,130
19:11:42,3017,131
19:16:45,3031,132
19:22:08,3043,132
19:27:11,3057,133
19:32:14,3071,133
19:37:16,3085,134
19:42:18,3096,134
19:47:32,3111,135
19:52:36,3126,135
19:57:40,3140,135
20:02:41,3151,136
20:07:44,3165,136
20:12:47,3179,136
20:18:53,3193,136
20:23:55,3207,136
20:28:58,3221,136
20:34:08,3230,136
20:39:11,3244,136
20:44:14,3258,137
20:49:16,3272,138
20:54:18,3283,139
20:59:20,3297,139
21:04:23,3311,139
21:09:46,3323,139
21:14:49,3337,142
21:20:05,3352,143
21:25:08,3366,144
21:30:10,3377,144
21:35:13,3391,144
21:40:16,3405,144
21:45:18,3419,144
21:50:20,3430,144
21:55:23,3444,144
22:00:25,3458,144
22:05:28,3472,144
22:10:30,3483,145
22:15:33,3497,145
22:20:36,3511,145
22:25:59,3523,145
22:31:01,3537,145
22:36:04,3551,146
22:41:07,3565,146
22:46:08,3576,146
22:51:11,3590,146
22:56:15,3604,146
23:01:18,3618,146
23:06:22,3629,146
23:11:25,3643,146
23:16:28,3657,147
23:21:31,3671,148
23:26:33,3682,148
23:31:36,3693,148
23:36:39,3707,148
23:41:41,3721,149
23:46:44,3735,149
23:52:06,3746,149
23:57:10,3760,149
24:02:13,3774,149
24:07:15,3788,149
24:12:17,3799,150
24:17:20,3813,150
24:22:22,3827,151
24:27:46,3839,151
24:32:49,3853,151
24:37:52,3867,151
24:42:54,3881,151
24:47:55,3891,151
24:52:57,3905,153
24:58:00,3919,153
25:03:03,3933,153
25:08:05,3944,153
25:13:08,3958,153
25:18:11,3972,153
25:23:14,3986,153
25:28:16,3997,153
25:33:19,4011,153
25:38:23,4025,154
25:44:50,4039,157
25:49:52,4053,157
25:54:55,4067,160
26:00:08,4083,160
26:05:21,4096,160
26:10:24,4110,160
26:15:35,4127,160
26:21:08,4139,160
26:26:11,4153,160
26:31:13,4167,160
26:36:16,4181,160
26:41:18,4192,160
26:46:21,4206,160
26:51:24,4220,161
26:56:27,4234,161
27:01:29,4245,163
27:06:31,4259,163
27:11:34,4273,164
27:16:37,4287,164
27:21:37,4297,164
27:26:40,4311,165
