Time                Round               Mutate stage        Coverage            Crash found         
00:00:21            1                   0                   2                   0                   
00:05:24            15                  0                   10                  0                   
00:10:26            29                  0                   12                  0                   
00:15:28            43                  0                   12                  0                   
00:20:29            54                  0                   12                  0                   
00:25:31            68                  0                   14                  0                   
00:30:33            82                  0                   18                  0                   
00:35:35            96                  0                   18                  0                   
00:40:36            107                 0                   21                  0                   
00:45:38            121                 0                   22                  0                   
00:50:40            135                 0                   23                  0                   
00:55:42            149                 0                   25                  0                   
01:00:52            160                 0                   25                  0                   
01:05:54            174                 0                   26                  0                   
01:10:57            188                 0                   27                  0                   
01:16:19            200                 0                   28                  0                   
01:21:21            214                 0                   28                  0                   
01:26:24            228                 0                   28                  0                   
01:31:26            242                 0                   29                  0                   
01:36:27            253                 0                   29                  0                   
01:41:29            267                 0                   30                  0                   
01:46:31            281                 0                   32                  0                   
01:51:33            295                 0                   34                  0                   
01:56:48            306                 0                   34                  0                   
02:01:50            320                 0                   34                  0                   
02:06:52            334                 0                   34                  0                   
02:11:54            348                 0                   35                  0                   
02:16:56            359                 0                   35                  0                   
02:21:58            373                 0                   35                  0                   
02:27:00            387                 0                   36                  0                   
02:32:58            400                 0                   36                  0                   
02:38:00            414                 0                   36                  0                   
02:43:03            428                 0                   36                  0                   
02:48:07            442                 0                   38                  0                   
02:53:08            453                 0                   42                  0                   
02:58:10            467                 0                   42                  0                   
03:03:13            481                 0                   42                  0                   
03:08:15            495                 0                   48                  0                   
03:13:18            506                 0                   50                  0                   
03:18:22            520                 0                   50                  0                   
03:23:24            534                 0                   50                  0                   
03:28:27            548                 0                   50                  0                   
03:33:28            559                 0                   50                  0                   
03:38:30            573                 0                   51                  0                   
03:43:32            587                 0                   51                  0                   
03:49:17            600                 0                   51                  0                   
03:54:19            614                 0                   51                  0                   
03:59:21            628                 0                   51                  0                   
04:04:24            642                 0                   51                  0                   
04:09:26            653                 0                   51                  0                   
04:14:28            667                 0                   52                  0                   
04:19:30            681                 0                   52                  0                   
04:24:32            695                 0                   52                  1                   
04:29:34            706                 0                   52                  1                   
04:34:37            720                 0                   52                  1                   
04:39:39            734                 0                   52                  1                   
04:45:03            746                 0                   52                  1                   
04:50:06            760                 0                   52                  1                   
04:55:09            774                 1                   52                  1                   
05:00:11            788                 1                   52                  1                   
05:05:13            799                 1                   52                  1                   
05:10:15            813                 1                   52                  1                   
05:15:18            827                 1                   55                  1                   
05:20:20            841                 1                   55                  1                   
05:25:36            852                 1                   55                  1                   
05:30:38            866                 1                   56                  1                   
05:35:40            880                 1                   58                  1                   
05:40:43            894                 1                   58                  1                   
05:45:44            905                 1                   58                  1                   
05:50:47            919                 1                   59                  1                   
05:55:49            933                 1                   59                  1                   
06:01:34            946                 1                   59                  1                   
06:06:36            960                 1                   61                  1                   
06:11:39            974                 1                   64                  1                   
06:16:41            988                 1                   65                  1                   
06:21:43            999                 1                   65                  1                   
06:26:45            1013                1                   65                  1                   
06:32:01            1028                1                   68                  1                   
06:37:03            1042                1                   68                  1                   
06:42:05            1053                1                   68                  1                   
06:47:07            1067                1                   69                  1                   
06:52:09            1081                1                   71                  1                   
06:57:12            1095                1                   71                  1                   
07:02:13            1106                1                   71                  1                   
07:07:15            1120                1                   71                  1                   
07:12:17            1134                1                   71                  1                   
07:17:40            1146                1                   72                  1                   
07:22:42            1160                1                   72                  1                   
07:27:45            1174                1                   73                  1                   
07:32:46            1188                1                   73                  1                   
07:37:48            1199                1                   73                  1                   
07:42:50            1213                1                   73                  1                   
07:47:52            1227                1                   73                  1                   
07:52:55            1241                1                   73                  1                   
07:58:10            1252                1                   73                  1                   
08:03:12            1266                1                   73                  1                   
08:08:15            1280                1                   73                  1                   
08:13:17            1294                1                   73                  1                   
08:18:18            1305                1                   73                  1                   
08:23:20            1319                1                   73                  1                   
08:28:22            1333                1                   73                  1                   
08:34:07            1346                1                   73                  1                   
08:39:09            1360                1                   73                  1                   
08:44:11            1374                1                   73                  1                   
08:49:13            1388                2                   75                  1                   
08:54:15            1399                2                   75                  1                   
08:59:17            1413                2                   75                  1                   
09:04:26            1429                2                   76                  1                   
09:09:28            1443                2                   76                  1                   
09:14:29            1454                2                   76                  1                   
09:19:32            1468                2                   77                  1                   
09:24:34            1482                2                   77                  1                   
09:30:32            1496                2                   77                  1                   
09:35:34            1510                2                   77                  1                   
09:40:36            1524                2                   78                  1                   
09:45:38            1538                2                   79                  1                   
09:50:40            1549                2                   79                  1                   
09:55:55            1564                2                   80                  1                   
10:00:58            1578                2                   80                  1                   
10:06:00            1592                2                   80                  1                   
10:11:07            1603                2                   80                  1                   
10:16:09            1617                2                   80                  1                   
10:21:11            1631                2                   81                  1                   
10:26:14            1645                2                   82                  1                   
10:31:29            1656                2                   82                  1                   
10:36:32            1670                2                   82                  1                   
10:41:34            1684                2                   83                  1                   
10:46:50            1695                2                   84                  2                   
10:51:52            1709                2                   84                  2                   
