Time,Round,Coverage
0:0:0:2,1,1
0:0:1:45,5,2
0:0:2:8,6,3
0:0:2:35,7,4
0:0:3:2,8,5
0:0:3:26,9,6
0:0:3:47,10,7
0:0:4:18,11,8
0:0:6:53,17,9
0:0:7:21,18,10
0:0:10:32,25,11
0:0:11:30,27,12
0:0:13:30,32,13
0:0:14:21,34,14
0:0:15:6,36,15
0:0:15:24,37,16
0:0:19:50,48,17
0:0:24:11,58,18
0:0:29:42,72,19
0:0:32:41,79,20
0:0:33:29,81,21
0:0:37:11,89,22
0:0:39:17,94,23
0:0:39:40,95,24
0:0:44:34,105,25
0:0:50:40,120,26
0:0:52:49,125,27
0:0:57:10,135,28
0:0:59:37,141,29
0:1:2:12,147,30
0:1:9:2,162,31
0:1:13:35,173,32
0:1:14:7,174,33
0:1:16:2,178,34
0:1:17:23,181,35
0:1:17:50,182,36
0:1:19:46,187,37
0:1:33:12,217,38
0:1:39:41,233,39
0:1:40:46,236,40
0:1:42:51,241,41
0:1:43:40,243,42
0:1:45:32,248,43
0:1:46:17,250,44
0:1:46:38,251,45
0:1:48:53,256,46
0:1:49:49,258,47
0:1:58:46,281,48
0:2:3:22,293,49
0:2:5:19,297,50
0:2:9:31,304,51
0:2:19:21,327,52
0:2:23:46,338,53
0:2:25:25,342,54
0:2:29:23,352,55
0:2:32:49,361,56
0:2:46:3,393,57
0:3:9:19,446,58
0:3:30:47,498,59
0:3:37:11,511,60
0:3:58:37,563,61
0:4:13:44,601,62
0:4:24:13,626,63
0:4:38:58,662,64
0:4:47:51,684,65
0:4:51:9,692,66
0:5:48:16,825,67
0:6:7:59,873,68
0:6:35:56,938,69
0:7:5:6,1009,70
0:7:23:2,1050,71
0:7:32:23,1073,72
0:7:37:14,1085,73
0:7:50:58,1116,74
0:8:15:8,1174,75
0:8:27:29,1204,76
0:8:50:1,1256,77
0:8:57:18,1272,78
0:9:10:21,1305,79
0:9:33:58,1359,80
0:9:43:15,1382,81
0:9:51:16,1402,82
0:10:14:15,1455,83
0:10:18:33,1466,84
0:10:43:17,1524,85
0:11:56:52,1702,86
0:13:25:32,1913,87
0:13:45:35,1958,88
0:14:19:39,2038,89
0:20:0:54,2143,90
0:21:57:4,2421,91
0:21:57:59,2423,92
0:22:25:52,2488,93
0:22:33:6,2506,94
0:23:5:59,2584,95
0:23:11:34,2598,96
0:23:29:48,2639,97
1:1:8:26,2874,98
1:1:55:33,2984,99
1:5:13:18,3451,100
1:6:8:34,3580,101
1:9:16:24,4024,102
1:13:23:1,4602,103
1:13:40:41,4646,104
2:2:7:29,6420,105
