Time,Round,Coverage
00:00:02,1,1
00:05:06,59,5
00:10:08,129,5
00:15:11,195,6
00:20:42,250,6
00:25:43,315,6
00:30:45,392,6
00:36:11,450,6
00:41:40,517,7
00:46:41,583,7
00:51:43,648,8
00:57:14,717,8
01:02:18,787,8
01:07:20,866,8
01:12:23,928,8
01:17:25,1001,8
01:23:01,1067,8
01:28:03,1142,9
01:33:45,1217,9
01:38:47,1287,10
01:44:11,1367,11
01:49:13,1444,13
01:54:56,1517,14
01:59:57,1601,14
02:05:25,1667,14
02:10:26,1738,14
02:15:31,1790,14
02:21:08,1861,14
02:27:06,1961,14
02:32:07,2053,14
02:37:08,2111,14
02:42:49,2184,15
02:47:52,2272,15
02:52:55,2334,15
02:58:33,2408,15
03:03:34,2470,15
03:08:34,2530,15
03:13:35,2610,15
03:18:35,2655,15
03:23:37,2716,15
03:28:42,2773,16
03:33:42,2847,16
03:38:57,2915,16
03:43:59,2980,16
03:49:32,3040,16
03:54:33,3108,16
03:59:34,3144,16
04:04:37,3224,16
04:10:42,3264,16
04:15:43,3347,17
04:20:43,3413,17
04:25:48,3467,18
04:30:49,3552,18
04:35:58,3614,19
04:41:00,3684,19
04:46:01,3763,19
04:51:07,3823,19
04:56:08,3881,19
05:01:12,3934,19
05:07:07,4000,19
05:12:09,4077,19
05:17:10,4147,19
05:22:20,4200,20
05:27:21,4286,20
05:32:25,4370,21
05:37:27,4428,21
05:42:31,4507,21
05:47:34,4581,21
05:52:38,4664,22
05:57:39,4723,22
06:02:41,4811,23
06:07:43,4886,23
06:12:44,4971,23
06:17:49,5025,23
06:23:04,5094,23
06:28:05,5173,23
06:33:24,5244,23
06:38:27,5333,23
06:43:27,5401,23
06:48:28,5478,23
06:53:37,5544,23
06:59:12,5617,23
07:04:13,5688,23
07:09:48,5767,23
07:14:48,5858,23
07:19:54,5917,24
07:24:56,5999,24
07:29:57,6058,25
07:35:21,6134,26
07:40:24,6228,26
07:45:25,6286,26
07:51:23,6384,26
07:56:24,6464,26
08:02:02,6534,26
08:08:01,6634,26
08:13:03,6710,26
08:18:31,6784,26
08:24:11,6884,26
08:29:12,6964,26
08:34:23,7034,26
08:40:28,7134,26
08:45:29,7214,26
08:50:32,7281,26
08:55:33,7365,26
09:01:20,7434,26
09:07:35,7505,26
09:13:36,7605,26
09:18:37,7668,26
09:24:42,7755,26
