Time                Round               Mutate stage        Coverage            Crash found         
00:00:02            1                   0                   1                   0                   
00:05:06            59                  0                   5                   0                   
00:10:08            129                 0                   5                   0                   
00:15:11            195                 1                   6                   0                   
00:20:42            250                 1                   6                   0                   
00:25:43            315                 1                   6                   0                   
00:30:45            392                 2                   6                   0                   
00:36:11            450                 2                   6                   0                   
00:41:40            517                 2                   7                   1                   
00:46:41            583                 2                   7                   1                   
00:51:43            648                 2                   8                   1                   
00:57:14            717                 2                   8                   1                   
01:02:18            787                 2                   8                   1                   
01:07:20            866                 2                   8                   1                   
01:12:23            928                 2                   8                   1                   
01:17:25            1001                2                   8                   1                   
01:23:01            1067                2                   8                   1                   
01:28:03            1142                2                   9                   1                   
01:33:45            1217                2                   9                   1                   
01:38:47            1287                2                   10                  1                   
01:44:11            1367                2                   11                  1                   
01:49:13            1444                2                   13                  1                   
01:54:56            1517                2                   14                  1                   
01:59:57            1601                2                   14                  1                   
02:05:25            1667                2                   14                  1                   
02:10:26            1738                2                   14                  1                   
02:15:31            1790                2                   14                  2                   
02:21:08            1861                2                   14                  3                   
02:27:06            1961                2                   14                  3                   
02:32:07            2053                2                   14                  3                   
02:37:08            2111                2                   14                  4                   
02:42:49            2184                2                   15                  4                   
02:47:52            2272                2                   15                  4                   
02:52:55            2334                2                   15                  4                   
02:58:33            2408                2                   15                  5                   
03:03:34            2470                2                   15                  6                   
03:08:34            2530                2                   15                  6                   
03:13:35            2610                2                   15                  6                   
03:18:35            2655                2                   15                  7                   
03:23:37            2716                2                   15                  7                   
03:28:42            2773                2                   16                  8                   
03:33:42            2847                2                   16                  8                   
03:38:57            2915                2                   16                  8                   
03:43:59            2980                2                   16                  9                   
03:49:32            3040                2                   16                  9                   
03:54:33            3108                2                   16                  10                  
03:59:34            3144                2                   16                  11                  
04:04:37            3224                2                   16                  11                  
04:10:42            3264                2                   16                  13                  
04:15:43            3347                2                   17                  13                  
04:20:43            3413                2                   17                  13                  
04:25:48            3467                2                   18                  13                  
04:30:49            3552                2                   18                  13                  
04:35:58            3614                2                   19                  13                  
04:41:00            3684                2                   19                  13                  
04:46:01            3763                2                   19                  13                  
04:51:07            3823                2                   19                  14                  
04:56:08            3881                2                   19                  15                  
05:01:12            3934                2                   19                  15                  
05:07:07            4000                2                   19                  16                  
05:12:09            4077                2                   19                  16                  
05:17:10            4147                2                   19                  16                  
05:22:20            4200                2                   20                  16                  
05:27:21            4286                2                   20                  16                  
05:32:25            4370                2                   21                  16                  
05:37:27            4428                2                   21                  17                  
05:42:31            4507                2                   21                  17                  
05:47:34            4581                2                   21                  17                  
05:52:38            4664                2                   22                  17                  
05:57:39            4723                2                   22                  17                  
06:02:41            4811                2                   23                  17                  
06:07:43            4886                2                   23                  17                  
06:12:44            4971                2                   23                  17                  
06:17:49            5025                2                   23                  18                  
06:23:04            5094                2                   23                  18                  
06:28:05            5173                2                   23                  18                  
06:33:24            5244                2                   23                  18                  
06:38:27            5333                2                   23                  18                  
06:43:27            5401                2                   23                  18                  
06:48:28            5478                2                   23                  18                  
06:53:37            5544                2                   23                  18                  
06:59:12            5617                2                   23                  19                  
07:04:13            5688                2                   23                  19                  
07:09:48            5767                2                   23                  19                  
07:14:48            5858                2                   23                  19                  
07:19:54            5917                2                   24                  19                  
07:24:56            5999                2                   24                  19                  
07:29:57            6058                2                   25                  20                  
07:35:21            6134                2                   26                  20                  
07:40:24            6228                2                   26                  20                  
07:45:25            6286                2                   26                  20                  
07:51:23            6384                2                   26                  20                  
07:56:24            6464                2                   26                  20                  
08:02:02            6534                2                   26                  20                  
08:08:01            6634                2                   26                  20                  
08:13:03            6710                2                   26                  20                  
08:18:31            6784                2                   26                  20                  
08:24:11            6884                2                   26                  20                  
08:29:12            6964                2                   26                  20                  
08:34:23            7034                2                   26                  20                  
08:40:28            7134                2                   26                  20                  
08:45:29            7214                2                   26                  20                  
08:50:32            7281                2                   26                  20                  
08:55:33            7365                2                   26                  20                  
09:01:20            7434                2                   26                  20                  
09:07:35            7505                2                   26                  21                  
09:13:36            7605                2                   26                  21                  
09:18:37            7668                2                   26                  21                  
09:24:42            7755                2                   26                  21                  
09:29:42            7846                2                   26                  21                  
09:34:44            7898                2                   26                  22                  
09:39:49            7977                2                   26                  22                  
09:44:49            8025                2                   26                  23                  
09:49:51            8106                2                   26                  23                  
09:54:52            8162                2                   26                  23                  
10:00:51            8229                2                   26                  24                  
10:06:34            8329                2                   26                  24                  
10:11:35            8411                2                   26                  24                  
10:16:37            8480                2                   26                  24                  
10:21:38            8577                2                   26                  24                  
10:26:40            8638                2                   26                  24                  
10:31:42            8713                2                   26                  24                  
10:37:37            8779                2                   26                  24                  
10:43:23            8879                2                   26                  24                  
10:48:23            8945                2                   26                  24                  
10:53:24            9025                2                   26                  24                  
10:58:26            9100                2                   26                  24                  
11:03:27            9174                2                   26                  24                  
11:08:28            9247                2                   26                  24                  
11:13:59            9329                2                   26                  24                  
11:19:04            9420                2                   27                  24                  
11:24:04            9487                2                   27                  24                  
11:29:05            9573                2                   27                  24                  
11:34:05            9658                2                   27                  24                  
11:39:15            9729                2                   27                  24                  
11:45:12            9800                2                   27                  25                  
11:50:22            9875                2                   27                  26                  
11:55:25            9941                2                   27                  26                  
12:00:27            10022               2                   27                  26                  
12:05:29            10083               2                   27                  26                  
12:10:53            10175               2                   27                  26                  
12:15:53            10238               2                   27                  26                  
12:20:55            10323               2                   27                  26                  
12:25:55            10402               2                   27                  26                  
12:31:21            10475               2                   27                  26                  
12:36:22            10559               2                   27                  26                  
12:41:23            10627               2                   27                  26                  
12:47:07            10725               2                   27                  26                  
12:52:10            10817               2                   27                  26                  
12:57:14            10867               2                   27                  27                  
13:02:17            10949               2                   27                  27                  
13:07:18            11040               2                   27                  27                  
13:12:19            11110               2                   27                  27                  
13:17:21            11174               2                   27                  28                  
13:22:23            11241               2                   27                  29                  
13:27:23            11298               2                   27                  30                  
13:32:24            11381               2                   27                  30                  
13:37:24            11463               2                   27                  30                  
13:42:26            11528               2                   27                  30                  
13:47:27            11601               2                   27                  30                  
13:53:02            11694               2                   27                  30                  
13:58:49            11766               2                   27                  31                  
14:03:53            11852               2                   27                  31                  
14:08:55            11907               2                   27                  32                  
14:13:55            11992               2                   27                  32                  
14:18:56            12072               2                   27                  32                  
14:25:12            12138               2                   27                  32                  
14:30:16            12210               2                   27                  33                  
14:35:18            12288               2                   27                  33                  
14:40:27            12360               2                   27                  33                  
14:45:28            12433               2                   27                  33                  
14:50:29            12518               2                   27                  33                  
14:55:31            12591               2                   27                  33                  
15:00:39            12660               2                   27                  33                  
15:06:44            12760               2                   28                  33                  
15:12:46            12835               2                   28                  34                  
15:17:51            12924               2                   28                  34                  
15:22:51            12987               2                   28                  34                  
15:27:53            13070               2                   28                  34                  
15:32:53            13113               2                   28                  35                  
15:38:58            13199               2                   28                  35                  
15:44:54            13299               2                   28                  35                  
15:49:54            13385               2                   28                  35                  
15:55:02            13449               2                   28                  35                  
16:00:03            13543               2                   28                  35                  
16:05:06            13614               2                   28                  35                  
16:10:38            13670               2                   28                  36                  
16:15:39            13758               2                   28                  36                  
16:20:40            13843               2                   28                  36                  
16:25:42            13907               2                   28                  36                  
16:30:43            13977               2                   28                  36                  
16:35:44            14069               2                   28                  36                  
16:40:44            14151               2                   28                  36                  
16:46:27            14220               2                   28                  36                  
16:51:29            14308               2                   28                  36                  
16:56:29            14393               2                   28                  36                  
17:02:25            14470               2                   28                  36                  
17:07:27            14544               2                   28                  36                  
17:12:27            14629               2                   28                  36                  
17:17:29            14714               2                   29                  36                  
17:22:30            14782               2                   29                  36                  
17:28:33            14870               2                   29                  36                  
17:34:26            14970               2                   29                  36                  
17:39:26            15040               2                   29                  37                  
17:44:48            15091               2                   29                  37                  
17:50:28            15191               2                   29                  37                  
17:55:32            15280               2                   29                  37                  
18:00:37            15349               2                   29                  37                  
18:05:51            15414               2                   29                  38                  
18:11:43            15514               2                   29                  38                  
18:16:44            15586               2                   29                  38                  
18:22:32            15664               2                   29                  38                  
18:28:34            15764               2                   29                  38                  
