Time,Round,Coverage
00:00:12,1,1
00:05:12,31,3
00:10:14,64,7
00:15:58,100,10
00:21:04,122,12
00:26:11,152,15
00:31:15,192,15
00:36:18,222,15
00:41:25,258,15
00:46:29,285,15
00:52:06,301,17
00:57:07,343,17
01:02:12,375,17
01:07:28,401,17
01:12:37,427,18
01:17:44,451,18
01:22:47,489,18
01:27:49,519,19
01:32:56,553,21
01:37:57,588,21
01:43:25,603,22
01:48:25,633,25
01:53:31,672,25
01:58:38,704,25
02:03:47,737,25
02:08:56,760,26
02:14:11,776,27
02:19:19,801,27
02:24:25,821,27
02:29:26,849,28
02:34:27,874,29
02:40:19,903,29
02:45:21,941,30
02:50:29,982,30
02:55:37,1008,30
03:00:40,1038,33
03:05:41,1073,33
03:11:00,1103,33
03:16:05,1137,35
03:21:16,1170,35
03:26:26,1201,35
03:31:34,1226,35
03:36:38,1268,35
03:42:33,1303,37
03:47:34,1345,37
03:52:42,1368,37
03:57:46,1393,38
04:02:58,1411,38
04:08:00,1429,40
04:13:11,1445,40
04:18:19,1467,40
04:23:27,1497,40
04:28:28,1512,41
04:33:33,1541,42
04:38:40,1571,43
04:43:49,1598,43
04:48:53,1625,43
04:53:56,1662,43
04:58:59,1699,43
05:04:05,1730,43
05:09:12,1767,43
05:14:22,1800,43
05:19:30,1823,43
05:24:40,1853,43
05:29:41,1886,43
05:34:47,1914,44
05:39:53,1948,44
05:45:00,1981,45
05:50:03,2012,45
05:55:06,2043,45
06:00:06,2073,45
06:05:13,2103,45
06:10:14,2145,45
06:15:21,2185,45
06:20:29,2212,45
06:25:36,2250,45
06:30:41,2288,45
06:35:49,2312,45
06:40:59,2335,47
06:46:07,2357,47
06:51:22,2373,47
06:56:27,2393,48
07:01:37,2409,48
07:06:56,2430,48
07:12:07,2464,49
07:17:16,2488,49
07:22:31,2505,50
07:27:37,2529,50
07:32:38,2562,50
07:37:45,2596,50
07:42:45,2622,50
07:47:46,2647,50
07:52:47,2669,50
07:57:55,2700,50
08:02:56,2728,50
08:08:03,2767,50
08:13:34,2803,51
08:18:39,2837,51
