Time                Round               Mutate stage        Coverage            Crash found         
00:00:12            1                   0                   1                   0                   
00:05:12            31                  0                   3                   0                   
00:10:14            64                  0                   7                   0                   
00:15:58            100                 0                   10                  0                   
00:21:04            122                 0                   12                  0                   
00:26:11            152                 0                   15                  0                   
00:31:15            192                 0                   15                  0                   
00:36:18            222                 0                   15                  0                   
00:41:25            258                 1                   15                  0                   
00:46:29            285                 1                   15                  0                   
00:52:06            301                 1                   17                  1                   
00:57:07            343                 1                   17                  1                   
01:02:12            375                 1                   17                  1                   
01:07:28            401                 1                   17                  2                   
01:12:37            427                 1                   18                  2                   
01:17:44            451                 1                   18                  2                   
01:22:47            489                 1                   18                  2                   
01:27:49            519                 1                   19                  2                   
01:32:56            553                 1                   21                  2                   
01:37:57            588                 1                   21                  2                   
01:43:25            603                 1                   22                  3                   
01:48:25            633                 1                   25                  3                   
01:53:31            672                 1                   25                  3                   
01:58:38            704                 1                   25                  3                   
02:03:47            737                 1                   25                  3                   
02:08:56            760                 1                   26                  3                   
02:14:11            776                 1                   27                  3                   
02:19:19            801                 1                   27                  3                   
02:24:25            821                 1                   27                  3                   
02:29:26            849                 1                   28                  3                   
02:34:27            874                 1                   29                  3                   
02:40:19            903                 1                   29                  3                   
02:45:21            941                 1                   30                  3                   
02:50:29            982                 1                   30                  3                   
02:55:37            1008                1                   30                  3                   
03:00:40            1038                1                   33                  3                   
03:05:41            1073                1                   33                  3                   
03:11:00            1103                1                   33                  3                   
03:16:05            1137                1                   35                  3                   
03:21:16            1170                1                   35                  3                   
03:26:26            1201                1                   35                  3                   
03:31:34            1226                1                   35                  3                   
03:36:38            1268                1                   35                  3                   
03:42:33            1303                1                   37                  3                   
03:47:34            1345                1                   37                  3                   
03:52:42            1368                1                   37                  3                   
03:57:46            1393                1                   38                  3                   
04:02:58            1411                1                   38                  3                   
04:08:00            1429                1                   40                  3                   
04:13:11            1445                1                   40                  3                   
04:18:19            1467                1                   40                  3                   
04:23:27            1497                1                   40                  3                   
04:28:28            1512                1                   41                  3                   
04:33:33            1541                1                   42                  3                   
04:38:40            1571                1                   43                  3                   
04:43:49            1598                1                   43                  3                   
04:48:53            1625                1                   43                  3                   
04:53:56            1662                1                   43                  3                   
04:58:59            1699                1                   43                  3                   
05:04:05            1730                1                   43                  3                   
05:09:12            1767                2                   43                  3                   
05:14:22            1800                2                   43                  3                   
05:19:30            1823                2                   43                  3                   
05:24:40            1853                2                   43                  3                   
05:29:41            1886                2                   43                  3                   
05:34:47            1914                2                   44                  3                   
05:39:53            1948                2                   44                  3                   
05:45:00            1981                2                   45                  3                   
05:50:03            2012                2                   45                  3                   
05:55:06            2043                2                   45                  3                   
06:00:06            2073                2                   45                  3                   
06:05:13            2103                2                   45                  3                   
06:10:14            2145                2                   45                  3                   
06:15:21            2185                2                   45                  3                   
06:20:29            2212                2                   45                  3                   
06:25:36            2250                2                   45                  3                   
06:30:41            2288                2                   45                  3                   
06:35:49            2312                2                   45                  3                   
06:40:59            2335                2                   47                  3                   
06:46:07            2357                2                   47                  3                   
06:51:22            2373                2                   47                  3                   
06:56:27            2393                2                   48                  3                   
07:01:37            2409                2                   48                  3                   
07:06:56            2430                2                   48                  3                   
07:12:07            2464                2                   49                  3                   
07:17:16            2488                2                   49                  3                   
07:22:31            2505                2                   50                  3                   
07:27:37            2529                2                   50                  3                   
07:32:38            2562                2                   50                  3                   
07:37:45            2596                2                   50                  3                   
07:42:45            2622                2                   50                  3                   
07:47:46            2647                2                   50                  3                   
07:52:47            2669                2                   50                  3                   
07:57:55            2700                2                   50                  3                   
08:02:56            2728                2                   50                  3                   
08:08:03            2767                2                   50                  3                   
08:13:34            2803                2                   51                  3                   
08:18:39            2837                2                   51                  3                   
08:23:42            2870                2                   51                  3                   
08:29:35            2903                2                   51                  3                   
08:34:41            2936                2                   51                  3                   
08:39:42            2968                2                   51                  3                   
08:45:35            3003                2                   51                  3                   
08:50:42            3038                2                   51                  3                   
08:55:45            3071                2                   51                  3                   
09:01:50            3103                2                   51                  3                   
09:06:52            3140                2                   51                  3                   
09:11:53            3170                2                   51                  3                   
09:17:53            3203                2                   51                  3                   
09:22:58            3242                2                   51                  3                   
09:28:00            3283                2                   51                  3                   
09:33:06            3311                2                   51                  3                   
