Time,Round,Coverage
0:0:0:3,0,1
0:0:0:24,0,2
0:0:1:9,0,3
0:0:10:44,0,4
0:0:15:15,18,5
0:0:45:40,47,6
0:0:46:11,48,7
0:0:47:15,48,8
0:2:8:39,66,9
0:3:55:45,75,10
0:9:16:28,111,11
0:9:16:47,111,12
0:9:17:33,111,13
0:9:19:35,111,14
0:9:27:35,111,15
0:14:21:44,156,16
0:14:22:34,156,17
0:15:57:19,228,18
0:15:58:5,228,19
0:16:39:30,282,20
0:16:40:46,282,21
0:17:1:17,282,22
0:23:27:56,444,23
1:3:7:10,606,24
1:3:7:57,606,25
1:11:19:17,1029,26
1:11:20:5,1029,27
1:13:33:7,1065,28
1:18:52:10,1137,29
1:18:53:16,1137,30
1:20:16:46,1155,31
1:20:18:2,1155,32
