Time,Round,Coverage
00:00:13,1,1
00:05:27,21,5
00:10:39,42,6
00:15:40,63,10
00:20:44,84,11
00:25:44,105,13
00:30:57,127,13
00:36:10,149,15
00:41:11,170,19
00:46:17,191,20
00:51:31,213,22
00:56:36,234,22
01:01:38,255,22
01:06:41,276,25
01:11:46,297,27
01:16:59,319,31
01:21:59,340,31
01:27:05,361,33
01:32:18,383,34
01:37:27,404,34
01:42:36,426,35
01:47:39,447,36
01:52:45,468,36
01:57:59,490,37
02:03:12,507,37
02:08:13,528,37
02:13:25,550,38
02:18:37,572,39
02:23:47,594,42
02:28:55,614,43
02:34:06,636,43
02:39:08,657,44
02:44:11,678,44
02:49:11,699,44
02:54:12,720,46
02:59:26,742,47
03:04:30,763,47
03:09:44,785,49
03:14:55,807,53
03:20:02,829,54
03:25:12,851,58
03:30:15,872,58
03:35:22,893,58
03:40:29,915,58
03:45:41,937,60
03:50:53,959,60
03:55:56,980,61
04:01:55,1000,63
04:07:05,1022,63
04:12:07,1043,64
04:17:20,1064,66
04:22:21,1084,66
04:27:31,1106,67
04:32:43,1128,67
04:37:50,1149,69
04:42:57,1170,69
04:47:59,1191,72
04:53:13,1213,73
04:58:14,1234,76
05:03:15,1255,77
05:08:17,1276,77
05:13:19,1297,77
05:18:31,1319,77
05:23:33,1340,78
05:28:45,1362,78
05:33:52,1383,78
05:38:52,1404,79
05:43:53,1425,83
05:48:55,1446,84
05:53:55,1467,84
05:58:57,1488,85
06:04:10,1505,85
06:09:10,1526,85
06:14:13,1547,87
06:19:22,1569,89
06:24:36,1591,90
06:29:44,1612,90
06:34:45,1633,91
06:39:52,1654,93
06:44:59,1675,95
06:50:12,1697,95
06:55:13,1718,96
07:00:18,1739,96
07:05:20,1760,96
07:10:26,1781,96
07:15:37,1803,96
07:20:51,1825,96
07:25:54,1846,96
07:31:06,1867,96
07:36:10,1888,96
07:41:19,1909,97
07:46:21,1930,99
07:51:31,1951,100
07:56:37,1972,100
08:01:45,1993,100
08:06:46,2009,100
08:11:57,2030,100
08:17:03,2051,100
08:22:13,2070,101
08:27:18,2091,102
08:32:23,2112,104
08:37:24,2133,105
08:42:27,2154,105
08:47:27,2175,105
08:52:31,2196,105
08:57:34,2217,105
09:02:37,2238,105
09:07:41,2259,105
09:12:47,2279,105
09:18:01,2301,106
09:23:13,2323,106
09:28:16,2344,106
09:33:21,2365,106
09:38:35,2387,106
09:43:44,2408,107
