Time                Round               Mutate stage        Coverage            Crash found         
00:00:13            1                   0                   1                   0                   
00:05:27            21                  0                   5                   0                   
00:10:39            42                  0                   6                   0                   
00:15:40            63                  0                   10                  0                   
00:20:44            84                  0                   11                  0                   
00:25:44            105                 0                   13                  0                   
00:30:57            127                 0                   13                  0                   
00:36:10            149                 0                   15                  0                   
00:41:11            170                 0                   19                  0                   
00:46:17            191                 0                   20                  0                   
00:51:31            213                 0                   22                  0                   
00:56:36            234                 0                   22                  0                   
01:01:38            255                 0                   22                  0                   
01:06:41            276                 0                   25                  0                   
01:11:46            297                 0                   27                  0                   
01:16:59            319                 0                   31                  0                   
01:21:59            340                 0                   31                  0                   
01:27:05            361                 0                   33                  0                   
01:32:18            383                 0                   34                  0                   
01:37:27            404                 0                   34                  0                   
01:42:36            426                 0                   35                  0                   
01:47:39            447                 0                   36                  0                   
01:52:45            468                 0                   36                  0                   
01:57:59            490                 0                   37                  0                   
02:03:12            507                 0                   37                  0                   
02:08:13            528                 0                   37                  0                   
02:13:25            550                 0                   38                  0                   
02:18:37            572                 0                   39                  0                   
02:23:47            594                 0                   42                  0                   
02:28:55            614                 0                   43                  0                   
02:34:06            636                 0                   43                  0                   
02:39:08            657                 0                   44                  0                   
02:44:11            678                 0                   44                  0                   
02:49:11            699                 0                   44                  0                   
02:54:12            720                 0                   46                  0                   
02:59:26            742                 0                   47                  0                   
03:04:30            763                 0                   47                  0                   
03:09:44            785                 0                   49                  0                   
03:14:55            807                 0                   53                  0                   
03:20:02            829                 0                   54                  0                   
03:25:12            851                 0                   58                  0                   
03:30:15            872                 0                   58                  0                   
03:35:22            893                 0                   58                  0                   
03:40:29            915                 0                   58                  0                   
03:45:41            937                 0                   60                  0                   
03:50:53            959                 0                   60                  0                   
03:55:56            980                 0                   61                  0                   
04:01:55            1000                0                   63                  0                   
04:07:05            1022                0                   63                  0                   
04:12:07            1043                0                   64                  0                   
04:17:20            1064                0                   66                  0                   
04:22:21            1084                0                   66                  0                   
04:27:31            1106                0                   67                  0                   
04:32:43            1128                0                   67                  0                   
04:37:50            1149                0                   69                  0                   
04:42:57            1170                0                   69                  0                   
04:47:59            1191                0                   72                  0                   
04:53:13            1213                0                   73                  0                   
04:58:14            1234                0                   76                  0                   
05:03:15            1255                0                   77                  0                   
05:08:17            1276                0                   77                  0                   
05:13:19            1297                0                   77                  0                   
05:18:31            1319                0                   77                  0                   
05:23:33            1340                0                   78                  0                   
05:28:45            1362                0                   78                  0                   
05:33:52            1383                0                   78                  0                   
05:38:52            1404                0                   79                  0                   
05:43:53            1425                0                   83                  0                   
05:48:55            1446                0                   84                  0                   
05:53:55            1467                0                   84                  0                   
05:58:57            1488                0                   85                  0                   
06:04:10            1505                0                   85                  0                   
06:09:10            1526                0                   85                  0                   
06:14:13            1547                0                   87                  0                   
06:19:22            1569                0                   89                  0                   
06:24:36            1591                0                   90                  0                   
06:29:44            1612                0                   90                  0                   
06:34:45            1633                0                   91                  0                   
06:39:52            1654                0                   93                  0                   
06:44:59            1675                0                   95                  0                   
06:50:12            1697                0                   95                  0                   
06:55:13            1718                0                   96                  0                   
07:00:18            1739                0                   96                  0                   
07:05:20            1760                0                   96                  0                   
07:10:26            1781                0                   96                  0                   
07:15:37            1803                0                   96                  0                   
07:20:51            1825                1                   96                  0                   
07:25:54            1846                1                   96                  0                   
07:31:06            1867                1                   96                  0                   
07:36:10            1888                1                   96                  0                   
07:41:19            1909                1                   97                  0                   
07:46:21            1930                1                   99                  0                   
07:51:31            1951                1                   100                 0                   
07:56:37            1972                1                   100                 0                   
08:01:45            1993                1                   100                 0                   
08:06:46            2009                1                   100                 0                   
08:11:57            2030                1                   100                 0                   
08:17:03            2051                1                   100                 0                   
08:22:13            2070                1                   101                 0                   
08:27:18            2091                1                   102                 0                   
08:32:23            2112                1                   104                 0                   
08:37:24            2133                1                   105                 0                   
08:42:27            2154                1                   105                 0                   
08:47:27            2175                1                   105                 0                   
08:52:31            2196                1                   105                 0                   
08:57:34            2217                1                   105                 0                   
09:02:37            2238                1                   105                 0                   
09:07:41            2259                1                   105                 0                   
09:12:47            2279                1                   105                 0                   
