Time,Round,Coverage
0:0:0:2,1,1
0:0:0:24,2,2
0:0:0:50,3,3
0:0:1:16,4,4
0:0:1:54,5,5
0:0:2:17,6,6
0:0:2:44,7,7
0:0:3:11,8,8
0:0:3:39,9,9
0:0:3:59,10,10
0:0:4:30,11,11
0:0:7:4,17,12
0:0:7:32,18,13
0:0:7:58,19,14
0:0:8:28,20,15
0:0:8:56,21,16
0:0:9:26,22,17
0:0:9:53,23,18
0:0:10:18,24,19
0:0:10:56,25,20
0:0:11:53,27,21
0:0:15:3,34,22
0:0:15:30,35,23
0:0:15:48,36,24
0:0:16:30,38,25
0:0:17:33,41,26
0:0:19:14,45,27
0:0:21:18,47,28
0:0:22:6,49,29
0:0:22:53,51,30
0:0:23:19,52,31
0:0:23:46,53,32
0:0:26:55,60,33
0:0:27:40,62,34
0:0:29:16,66,35
0:0:29:39,67,36
0:0:31:26,71,37
0:0:31:49,72,38
0:0:34:29,78,39
0:0:42:27,93,40
0:0:44:11,97,41
0:0:48:3,107,42
0:0:48:33,108,43
0:0:50:13,112,44
0:1:8:38,155,45
0:1:18:36,177,46
0:1:20:20,181,47
0:1:30:56,204,48
0:1:31:42,206,49
0:1:33:24,210,50
0:1:33:53,211,51
0:1:34:21,212,52
0:1:34:38,213,53
0:1:36:41,218,54
0:1:45:26,240,55
0:1:50:9,252,56
0:1:55:11,264,57
0:1:55:35,265,58
0:2:2:7,282,59
0:2:2:50,284,60
0:2:3:35,286,61
0:2:5:29,288,62
0:2:13:32,306,63
0:2:13:53,307,64
0:2:14:55,309,65
0:2:19:30,320,66
0:2:20:46,323,67
0:2:21:33,325,68
0:2:32:26,352,69
0:2:34:50,358,70
0:2:41:43,375,71
0:2:50:56,395,72
0:2:51:20,396,73
0:2:51:50,397,74
0:3:0:39,418,75
0:3:1:8,419,76
0:3:9:3,438,77
0:3:14:45,451,78
0:3:17:29,458,79
0:3:19:40,463,80
0:3:21:44,468,81
0:3:24:0,474,82
0:3:46:2,525,83
0:3:47:15,528,84
0:3:48:22,531,85
0:3:57:7,552,86
0:3:59:14,557,87
0:3:59:38,558,88
0:4:0:4,559,89
0:4:0:26,560,90
0:4:2:13,564,91
0:4:4:47,570,92
0:4:10:40,585,93
0:4:13:45,590,94
0:4:18:48,603,95
0:4:21:37,610,96
0:4:37:17,650,97
0:4:40:31,658,98
0:4:48:48,678,99
0:4:56:28,694,100
0:5:8:2,722,101
0:5:8:48,724,102
0:5:11:48,732,103
0:5:16:46,744,104
0:5:22:59,759,105
0:5:23:18,760,106
0:5:39:46,797,107
0:5:41:23,801,108
0:5:59:2,843,109
0:6:3:50,855,110
0:6:33:3,922,111
0:6:43:45,948,112
0:6:56:58,981,113
0:6:57:22,982,114
0:7:18:46,1030,115
0:8:24:39,1187,116
0:8:42:52,1230,117
0:8:53:11,1254,118
0:9:1:20,1272,119
0:9:7:18,1287,120
0:9:46:22,1379,121
0:9:49:45,1387,122
0:10:12:19,1439,123
0:10:53:13,1536,124
0:11:46:58,1665,125
0:12:31:16,1770,126
0:15:29:33,2194,127
0:15:43:26,2223,128
0:16:50:33,2378,129
0:17:27:47,2466,130
0:18:42:59,2643,131
0:20:20:18,2870,132
0:23:12:50,3275,133
1:1:4:17,3536,134
1:1:33:41,3605,135
1:20:43:29,6324,136
1:23:45:13,6740,137
2:7:7:42,7775,138
