Time,Round,Coverage
00:00:04,1,2
00:05:06,62,7
00:10:08,130,10
00:15:10,204,11
00:20:12,279,12
00:25:15,344,12
00:30:16,419,12
00:35:17,486,16
00:40:19,543,18
00:45:19,605,20
00:50:20,683,21
00:55:25,748,21
01:00:26,792,22
01:05:27,874,22
01:10:32,943,22
01:15:35,1002,23
01:20:35,1067,23
01:25:38,1143,24
01:30:42,1196,26
01:35:47,1255,27
01:40:48,1312,27
01:45:49,1390,27
01:50:50,1451,27
01:55:54,1513,31
02:00:55,1580,31
02:05:59,1655,31
02:11:02,1719,31
02:16:07,1770,31
02:21:11,1827,32
02:26:13,1878,32
02:31:16,1957,33
02:36:22,2014,33
02:41:26,2069,33
02:46:28,2143,34
02:51:28,2211,36
02:56:30,2288,37
03:01:34,2354,37
03:06:37,2397,38
03:11:40,2465,39
03:16:44,2522,39
03:21:44,2605,40
03:26:49,2680,40
03:31:51,2735,40
03:36:53,2799,42
03:41:59,2866,43
03:47:02,2916,43
03:52:04,2995,44
03:57:09,3066,44
04:02:11,3125,48
04:07:15,3198,48
04:12:18,3261,48
04:17:19,3327,48
04:22:23,3378,48
04:27:25,3463,50
04:32:28,3531,53
04:37:31,3588,54
04:42:34,3654,55
04:47:38,3728,56
04:52:40,3782,59
04:57:41,3840,59
05:02:43,3904,61
05:07:46,3988,62
05:12:49,4053,63
05:17:52,4119,63
05:22:56,4180,65
05:27:58,4250,65
05:33:01,4325,66
05:38:03,4378,67
05:43:06,4449,68
05:48:07,4531,71
05:53:10,4612,71
05:58:16,4679,71
06:03:17,4742,71
06:08:24,4803,71
06:13:24,4863,71
06:18:25,4913,71
06:23:29,4992,71
06:28:30,5055,74
06:33:32,5125,75
06:38:35,5207,75
06:43:35,5290,76
06:48:37,5366,76
06:53:38,5405,77
06:58:39,5469,77
07:03:45,5522,77
07:08:48,5592,77
07:13:49,5652,77
07:18:53,5720,77
07:23:55,5783,77
07:28:56,5848,79
07:33:56,5905,79
07:38:58,5983,79
07:44:00,6056,79
07:49:01,6124,79
07:54:06,6188,80
07:59:10,6254,80
08:04:11,6314,82
08:10:05,6378,82
08:15:08,6444,82
08:20:15,6518,84
08:25:17,6585,84
08:30:20,6656,85
08:35:21,6735,85
08:40:21,6808,85
08:45:42,6878,85
08:50:45,6938,85
08:55:47,7002,86
09:00:48,7071,86
09:05:52,7132,88
09:10:58,7202,88
09:16:02,7264,88
09:21:02,7322,89
09:26:05,7386,89
09:31:10,7444,89
09:36:11,7515,89
09:41:14,7595,89
09:46:17,7671,90
09:51:22,7746,90
09:56:23,7793,90
10:02:46,7858,92
10:07:48,7910,92
10:12:49,7967,92
10:17:50,8038,92
10:22:50,8111,92
10:27:54,8165,92
10:32:54,8227,92
10:37:59,8293,92
10:43:02,8362,92
10:48:04,8440,92
10:53:07,8522,92
10:58:08,8604,93
11:03:09,8655,94
11:08:12,8721,96
11:13:12,8783,97
11:18:13,8846,98
11:23:15,8901,99
11:28:16,8968,99
11:33:18,9031,99
11:38:21,9108,100
11:43:23,9160,100
11:48:23,9222,100
11:53:24,9296,100
11:58:26,9375,100
12:03:27,9455,100
12:08:28,9533,101
12:13:31,9599,101
12:18:32,9652,101
12:23:36,9718,101
12:28:38,9785,101
12:33:42,9845,102
12:38:47,9892,102
12:43:47,9945,102
12:48:49,10012,102
12:53:50,10071,102
12:58:52,10136,102
13:03:55,10193,102
13:08:57,10268,102
13:13:58,10347,103
13:19:00,10413,103
13:24:03,10490,103
13:29:05,10566,103
13:34:05,10638,104
13:39:10,10707,105
13:44:11,10770,106
13:49:13,10816,108
13:54:13,10872,108
13:59:14,10934,108
14:04:18,11012,108
14:09:18,11065,108
14:14:19,11136,108
14:19:25,11193,108
14:24:25,11250,108
14:29:26,11329,108
14:34:29,11407,108
14:39:31,11482,109
14:45:31,11557,109
14:50:36,11621,109
14:55:38,11683,109
15:00:43,11750,109
15:05:43,11811,110
15:10:44,11867,111
15:15:46,11907,111
15:21:34,11957,111
15:26:35,12010,111
15:31:36,12079,111
15:36:40,12135,112
15:41:43,12201,112
15:46:47,12270,112
15:51:47,12338,112
15:56:48,12421,112
16:01:49,12502,113
16:06:53,12582,113
16:11:57,12635,113
16:16:59,12688,114
16:22:01,12755,116
16:27:02,12821,119
16:32:05,12889,119
16:37:58,12946,121
16:43:01,12998,121
16:48:01,13068,121
16:53:04,13136,121
16:58:05,13211,121
17:03:08,13280,121
17:08:12,13344,121
17:13:15,13411,121
17:18:16,13466,121
17:23:17,13550,121
17:28:19,13629,121
17:33:21,13708,121
17:38:24,13772,121
17:43:25,13837,122
17:48:26,13902,122
17:53:32,13954,122
17:58:35,14021,124
18:03:36,14088,125
18:09:12,14147,125
18:14:19,14212,125
18:19:21,14281,125
18:24:21,14344,125
18:29:52,14390,125
18:34:53,14465,126
18:39:58,14527,126
18:45:02,14592,126
18:50:02,14668,126
18:55:02,14743,126
19:00:03,14829,126
19:05:14,14890,126
19:10:16,14958,126
19:15:18,15018,128
19:20:24,15074,129
19:25:29,15145,130
19:30:59,15189,134
19:36:03,15235,134
19:41:03,15304,134
19:46:05,15351,134
19:51:08,15412,134
19:56:10,15485,134
20:01:12,15560,134
20:07:17,15625,134
20:12:20,15679,135
20:17:22,15745,135
20:22:26,15801,135
20:27:30,15871,135
20:32:32,15952,135
20:37:35,16037,135
20:42:35,16121,135
20:47:37,16173,135
20:52:41,16230,136
20:57:41,16292,137
21:02:41,16351,139
21:07:42,16413,139
21:12:47,16478,141
21:17:50,16534,145
21:22:54,16603,145
21:29:03,16658,146
21:34:07,16721,147
21:39:10,16789,147
21:44:13,16848,147
21:49:15,16901,147
21:54:19,16975,147
21:59:21,17042,147
22:04:23,17108,147
22:09:28,17180,147
22:14:31,17258,147
22:19:33,17338,148
22:24:35,17395,148
22:29:40,17473,148
22:34:45,17530,149
22:39:46,17592,149
22:44:47,17658,150
22:49:47,17729,151
22:54:51,17800,153
22:59:54,17863,153
23:04:58,17893,153
23:10:00,17956,153
23:15:02,18028,154
23:20:06,18085,154
23:25:09,18129,154
23:30:10,18194,154
23:35:14,18262,154
23:40:18,18328,155
23:45:21,18385,155
23:50:25,18428,155
23:55:32,18494,155
24:00:32,18560,155
24:05:36,18638,155
24:10:37,18718,155
24:15:40,18798,156
24:20:44,18884,156
24:25:48,18939,156
24:30:49,18998,157
24:35:50,19059,158
24:40:53,19090,158
24:45:57,19150,159
24:50:58,19228,159
24:55:58,19288,160
25:01:00,19352,162
25:06:00,19413,163
25:11:02,19475,165
25:16:05,19526,165
25:21:09,19587,165
25:26:10,19632,165
25:31:13,19703,165
25:36:16,19769,166
25:41:16,19846,166
25:46:16,19920,166
25:51:20,19986,166
25:56:23,20053,166
26:01:29,20098,166
26:06:30,20176,166
26:11:30,20253,166
26:16:33,20322,166
26:21:37,20402,166
26:26:41,20476,166
26:31:45,20535,166
26:36:49,20589,168
26:41:52,20642,168
26:46:53,20701,168
26:51:56,20775,168
26:56:57,20841,168
27:02:01,20902,169
27:08:08,20962,169
27:13:11,21008,170
27:18:15,21072,171
27:23:17,21138,172
27:28:17,21201,172
27:33:22,21249,172
27:38:43,21299,172
27:43:44,21371,172
27:48:50,21449,172
27:53:53,21520,172
27:58:56,21574,172
28:03:57,21645,172
28:08:58,21707,172
28:14:00,21776,172
28:19:01,21855,172
28:24:02,21937,172
28:29:08,22016,172
28:34:09,22075,172
28:39:10,22137,172
28:44:12,22192,172
28:49:13,22262,172
28:54:13,22323,172
28:59:13,22388,172
29:04:15,22460,172
29:09:16,22517,173
29:14:22,22547,173
29:19:25,22609,173
29:25:35,22651,174
29:30:38,22719,175
29:35:39,22784,175
29:41:02,22836,176
29:46:45,22887,176
29:51:47,22937,176
29:57:54,22985,176
30:02:58,23056,176
30:07:58,23125,176
30:12:59,23198,176
30:18:06,23266,177
30:23:09,23327,177
30:28:15,23394,177
30:33:18,23471,177
30:38:21,23530,177
30:43:23,23616,177
30:48:24,23702,178
30:53:27,23768,178
30:58:33,23828,178
31:03:35,23887,178
31:08:42,23955,178
31:13:44,24007,178
31:18:46,24089,178
31:24:04,24140,179
31:29:09,24186,181
31:34:12,24244,183
31:39:14,24310,184
31:44:16,24380,184
31:49:18,24438,184
31:54:21,24501,184
31:59:25,24566,185
32:04:25,24614,185
32:09:28,24668,185
32:15:33,24727,185
32:20:35,24798,185
32:25:37,24877,185
32:30:52,24934,185
32:35:55,25002,186
32:40:57,25066,186
32:45:57,25133,186
32:50:59,25216,186
32:56:01,25296,186
33:01:03,25374,186
33:06:07,25436,186
33:11:10,25508,186
33:16:13,25569,186
33:21:19,25635,186
33:26:22,25699,186
33:31:24,25753,187
33:36:24,25830,187
33:41:25,25899,187
33:46:36,25938,187
33:51:38,25986,188
33:56:41,26015,190
34:02:54,26064,190
34:07:58,26131,190
34:12:58,26193,191
34:18:00,26249,191
34:23:03,26315,191
34:28:06,26377,191
34:33:12,26422,191
34:38:13,26488,191
34:43:15,26561,192
34:48:16,26635,192
34:53:20,26707,192
34:58:21,26779,192
35:03:26,26847,193
35:08:29,26895,193
35:13:31,26964,193
35:18:35,27041,194
35:23:40,27124,194
35:28:43,27202,194
35:33:48,27282,194
35:38:50,27337,194
35:43:53,27390,194
35:48:54,27443,194
35:53:58,27503,194
35:59:01,27566,194
36:04:01,27642,194
36:09:05,27714,194
36:14:25,27763,196
36:19:27,27812,197
36:24:29,27855,197
36:29:31,27919,198
36:34:32,27978,199
36:39:36,28039,200
36:44:39,28100,200
36:49:43,28160,200
36:54:44,28226,200
36:59:45,28275,200
37:04:46,28328,200
37:09:49,28395,201
37:14:50,28463,201
37:19:53,28533,201
37:24:54,28598,201
37:29:55,28664,201
37:34:58,28727,201
37:39:59,28773,202
37:45:02,28843,202
37:50:04,28927,202
37:55:07,29011,202
38:00:08,29078,202
38:05:11,29160,202
38:10:11,29217,202
38:15:12,29271,202
38:20:20,29331,203
38:25:27,29378,203
38:30:29,29434,203
38:35:34,29499,204
38:40:37,29568,204
38:45:37,29632,204
38:51:44,29679,206
38:56:44,29713,206
39:01:47,29771,208
39:06:56,29804,210
39:11:58,29869,211
39:17:02,29932,211
39:22:08,29995,212
39:27:12,30060,212
39:32:13,30132,213
39:37:36,30185,213
39:42:40,30240,213
39:47:40,30305,213
39:52:41,30381,213
39:57:41,30461,213
40:02:45,30535,213
40:07:46,30608,213
40:12:47,30672,213
40:17:49,30717,213
40:22:52,30784,213
40:27:53,30856,213
40:32:53,30939,213
40:37:55,31025,213
40:42:56,31102,213
40:47:59,31169,213
40:53:00,31221,213
40:58:03,31280,213
41:03:04,31345,213
41:08:08,31406,213
41:13:11,31474,213
41:18:12,31550,213
41:23:13,31613,213
41:29:07,31676,213
41:34:08,31719,213
