Time                Round               Mutate stage        Coverage            Crash found         
00:00:04            1                   0                   2                   0                   
00:05:06            62                  0                   7                   0                   
00:10:08            130                 0                   10                  0                   
00:15:10            204                 0                   11                  0                   
00:20:12            279                 0                   12                  0                   
00:25:15            344                 1                   12                  0                   
00:30:16            419                 1                   12                  0                   
00:35:17            486                 2                   16                  0                   
00:40:19            543                 2                   18                  0                   
00:45:19            605                 2                   20                  0                   
00:50:20            683                 2                   21                  0                   
00:55:25            748                 2                   21                  0                   
01:00:26            792                 2                   22                  1                   
01:05:27            874                 2                   22                  1                   
01:10:32            943                 2                   22                  1                   
01:15:35            1002                2                   23                  1                   
01:20:35            1067                2                   23                  1                   
01:25:38            1143                2                   24                  1                   
01:30:42            1196                2                   26                  1                   
01:35:47            1255                2                   27                  1                   
01:40:48            1312                2                   27                  1                   
01:45:49            1390                2                   27                  1                   
01:50:50            1451                2                   27                  1                   
01:55:54            1513                2                   31                  1                   
02:00:55            1580                2                   31                  1                   
02:05:59            1655                2                   31                  1                   
02:11:02            1719                2                   31                  1                   
02:16:07            1770                2                   31                  1                   
02:21:11            1827                2                   32                  1                   
02:26:13            1878                2                   32                  2                   
02:31:16            1957                2                   33                  2                   
02:36:22            2014                2                   33                  2                   
02:41:26            2069                2                   33                  2                   
02:46:28            2143                2                   34                  2                   
02:51:28            2211                2                   36                  2                   
02:56:30            2288                2                   37                  2                   
03:01:34            2354                2                   37                  2                   
03:06:37            2397                2                   38                  2                   
03:11:40            2465                2                   39                  2                   
03:16:44            2522                2                   39                  2                   
03:21:44            2605                2                   40                  2                   
03:26:49            2680                2                   40                  2                   
03:31:51            2735                2                   40                  2                   
03:36:53            2799                2                   42                  2                   
03:41:59            2866                2                   43                  2                   
03:47:02            2916                2                   43                  2                   
03:52:04            2995                2                   44                  2                   
03:57:09            3066                2                   44                  2                   
04:02:11            3125                2                   48                  2                   
04:07:15            3198                2                   48                  2                   
04:12:18            3261                2                   48                  2                   
04:17:19            3327                2                   48                  2                   
04:22:23            3378                2                   48                  2                   
04:27:25            3463                2                   50                  2                   
04:32:28            3531                2                   53                  2                   
04:37:31            3588                2                   54                  2                   
04:42:34            3654                2                   55                  2                   
04:47:38            3728                2                   56                  2                   
04:52:40            3782                2                   59                  2                   
04:57:41            3840                2                   59                  2                   
05:02:43            3904                2                   61                  2                   
05:07:46            3988                2                   62                  2                   
05:12:49            4053                2                   63                  2                   
05:17:52            4119                2                   63                  2                   
05:22:56            4180                2                   65                  2                   
05:27:58            4250                2                   65                  2                   
05:33:01            4325                2                   66                  2                   
05:38:03            4378                2                   67                  2                   
05:43:06            4449                2                   68                  2                   
05:48:07            4531                2                   71                  2                   
05:53:10            4612                2                   71                  2                   
05:58:16            4679                2                   71                  2                   
06:03:17            4742                2                   71                  2                   
06:08:24            4803                2                   71                  2                   
06:13:24            4863                2                   71                  2                   
06:18:25            4913                2                   71                  2                   
06:23:29            4992                2                   71                  2                   
06:28:30            5055                2                   74                  2                   
06:33:32            5125                2                   75                  2                   
06:38:35            5207                2                   75                  2                   
06:43:35            5290                2                   76                  2                   
06:48:37            5366                2                   76                  2                   
06:53:38            5405                2                   77                  2                   
06:58:39            5469                2                   77                  2                   
07:03:45            5522                2                   77                  2                   
07:08:48            5592                2                   77                  2                   
07:13:49            5652                2                   77                  2                   
07:18:53            5720                2                   77                  2                   
07:23:55            5783                2                   77                  2                   
07:28:56            5848                2                   79                  2                   
07:33:56            5905                2                   79                  2                   
07:38:58            5983                2                   79                  2                   
07:44:00            6056                2                   79                  2                   
07:49:01            6124                2                   79                  2                   
07:54:06            6188                2                   80                  2                   
07:59:10            6254                2                   80                  2                   
08:04:11            6314                2                   82                  2                   
08:10:05            6378                2                   82                  2                   
08:15:08            6444                2                   82                  2                   
08:20:15            6518                2                   84                  2                   
08:25:17            6585                2                   84                  2                   
08:30:20            6656                2                   85                  2                   
08:35:21            6735                2                   85                  2                   
08:40:21            6808                2                   85                  2                   
08:45:42            6878                2                   85                  2                   
08:50:45            6938                2                   85                  2                   
08:55:47            7002                2                   86                  2                   
09:00:48            7071                2                   86                  2                   
09:05:52            7132                2                   88                  2                   
09:10:58            7202                2                   88                  2                   
09:16:02            7264                2                   88                  3                   
09:21:02            7322                2                   89                  3                   
09:26:05            7386                2                   89                  3                   
09:31:10            7444                2                   89                  3                   
09:36:11            7515                2                   89                  3                   
09:41:14            7595                2                   89                  3                   
09:46:17            7671                2                   90                  3                   
09:51:22            7746                2                   90                  3                   
09:56:23            7793                2                   90                  3                   
10:02:46            7858                2                   92                  5                   
10:07:48            7910                2                   92                  5                   
10:12:49            7967                2                   92                  5                   
10:17:50            8038                2                   92                  5                   
10:22:50            8111                2                   92                  5                   
10:27:54            8165                2                   92                  6                   
10:32:54            8227                2                   92                  6                   
10:37:59            8293                2                   92                  6                   
10:43:02            8362                2                   92                  6                   
10:48:04            8440                2                   92                  6                   
10:53:07            8522                2                   92                  6                   
10:58:08            8604                2                   93                  6                   
11:03:09            8655                2                   94                  6                   
