Time                Round               Mutate stage        Coverage            Crash found         
00:00:09            1                   0                   1                   0                   
00:05:18            37                  0                   7                   0                   
00:10:23            62                  0                   13                  0                   
00:15:47            86                  0                   15                  0                   
00:20:52            105                 0                   15                  0                   
00:25:52            141                 0                   18                  0                   
00:30:53            161                 0                   19                  0                   
00:35:58            179                 0                   20                  0                   
00:41:08            204                 0                   23                  0                   
00:46:08            230                 0                   23                  0                   
00:51:11            245                 0                   23                  0                   
00:56:17            268                 0                   23                  0                   
01:02:11            300                 0                   26                  0                   
01:07:18            324                 0                   27                  0                   
01:12:22            345                 0                   28                  0                   
01:17:30            357                 0                   29                  0                   
01:22:58            369                 0                   30                  0                   
01:28:03            391                 0                   35                  0                   
01:33:05            412                 0                   37                  0                   
01:38:16            429                 0                   38                  0                   
01:43:43            454                 0                   40                  0                   
01:48:55            466                 0                   40                  0                   
01:54:02            489                 0                   40                  0                   
01:59:04            506                 0                   45                  1                   
02:04:23            527                 0                   48                  1                   
02:10:23            550                 0                   51                  1                   
02:15:32            575                 0                   53                  1                   
02:21:39            600                 0                   53                  1                   
02:26:42            620                 0                   53                  1                   
02:31:46            642                 0                   54                  1                   
02:36:57            651                 0                   55                  1                   
02:42:08            662                 0                   57                  1                   
02:47:10            680                 0                   57                  1                   
02:52:26            697                 0                   57                  1                   
02:57:32            715                 0                   58                  1                   
03:02:35            737                 0                   58                  1                   
03:07:38            763                 0                   60                  1                   
03:12:40            786                 0                   61                  1                   
03:18:02            798                 0                   61                  1                   
03:23:07            814                 0                   61                  1                   
03:28:11            841                 0                   62                  1                   
03:33:21            855                 0                   62                  1                   
03:38:29            867                 0                   62                  1                   
03:43:32            893                 0                   63                  1                   
03:48:37            921                 0                   64                  1                   
03:54:21            941                 0                   66                  2                   
03:59:24            962                 0                   67                  2                   
04:04:36            990                 0                   69                  2                   
04:09:45            1009                0                   70                  2                   
04:14:50            1029                0                   70                  2                   
04:20:05            1047                0                   73                  2                   
04:25:17            1075                0                   76                  2                   
04:31:22            1091                0                   78                  2                   
04:36:28            1117                0                   78                  2                   
04:41:34            1139                0                   78                  2                   
04:46:48            1149                0                   80                  2                   
04:52:00            1165                0                   80                  2                   
04:57:17            1179                0                   80                  2                   
05:02:25            1190                0                   81                  2                   
05:07:35            1199                0                   82                  2                   
05:13:01            1211                0                   82                  2                   
05:18:24            1223                0                   82                  2                   
05:24:35            1241                0                   82                  2                   
05:29:45            1257                0                   82                  2                   
05:34:57            1277                0                   84                  2                   
05:40:04            1293                0                   85                  2                   
05:45:15            1311                0                   88                  2                   
05:50:21            1341                0                   89                  2                   
05:55:25            1370                0                   89                  2                   
06:00:32            1384                0                   89                  2                   
06:05:42            1396                0                   90                  2                   
06:10:48            1417                0                   91                  2                   
06:15:50            1436                0                   92                  2                   
06:21:17            1461                0                   92                  2                   
06:26:20            1473                0                   92                  2                   
06:32:11            1491                0                   92                  2                   
06:37:29            1509                0                   93                  2                   
06:42:31            1535                0                   95                  2                   
06:47:45            1556                0                   96                  2                   
06:53:40            1575                0                   96                  3                   
06:58:41            1594                0                   96                  4                   
07:03:44            1623                0                   99                  4                   
07:09:46            1639                0                   101                 5                   
07:14:49            1650                0                   102                 5                   
07:20:03            1672                0                   104                 5                   
07:25:20            1690                0                   104                 5                   
07:30:25            1716                0                   104                 5                   
07:35:34            1739                0                   105                 5                   
07:40:41            1756                0                   105                 5                   
07:45:47            1788                0                   106                 5                   
07:50:49            1807                0                   109                 5                   
07:55:49            1822                0                   109                 5                   
08:00:56            1836                0                   111                 5                   
08:05:57            1852                0                   111                 5                   
08:11:03            1875                0                   112                 5                   
08:16:18            1895                0                   113                 5                   
08:21:42            1911                0                   114                 5                   
08:27:00            1922                0                   114                 5                   
08:32:02            1935                0                   114                 5                   
08:37:15            1949                0                   114                 5                   
08:42:27            1960                0                   114                 5                   
08:47:45            1971                0                   115                 5                   
08:52:54            1982                0                   117                 5                   
08:58:08            1991                0                   118                 5                   
09:03:15            2001                0                   118                 5                   
09:08:29            2013                0                   118                 5                   
09:13:37            2026                0                   120                 5                   
09:18:58            2039                0                   120                 5                   
09:24:03            2052                0                   120                 5                   
09:29:31            2066                0                   120                 5                   
09:34:58            2090                0                   122                 5                   
09:40:05            2107                0                   122                 5                   
09:45:17            2129                0                   123                 5                   
09:50:18            2146                0                   123                 5                   
09:55:19            2163                0                   123                 5                   
10:00:20            2178                0                   125                 6                   
10:05:23            2211                0                   126                 6                   
10:10:40            2233                0                   127                 6                   
10:15:51            2250                0                   127                 6                   
10:21:13            2267                0                   129                 6                   
10:26:38            2277                0                   131                 6                   
10:31:49            2299                0                   132                 6                   
10:36:49            2317                0                   132                 6                   
10:41:58            2337                0                   132                 6                   
10:47:07            2355                0                   132                 6                   
10:52:18            2368                0                   133                 6                   
10:57:21            2390                0                   133                 6                   
11:02:27            2408                0                   135                 6                   
11:07:30            2425                0                   138                 6                   
11:12:37            2450                0                   140                 6                   
11:17:43            2471                0                   142                 6                   
11:22:46            2494                0                   142                 6                   
11:29:06            2521                0                   147                 7                   
11:34:08            2547                0                   147                 7                   
11:40:02            2572                0                   148                 7                   
11:45:10            2602                0                   149                 7                   
11:51:29            2615                0                   149                 9                   
11:56:34            2633                0                   151                 9                   
12:01:48            2657                0                   152                 9                   
12:07:00            2675                0                   152                 9                   
12:12:05            2698                0                   152                 9                   
12:17:54            2716                0                   153                 10                  
12:23:04            2732                0                   155                 10                  
12:28:11            2753                0                   156                 10                  
12:33:17            2772                0                   156                 10                  
12:38:32            2797                0                   158                 10                  
12:43:42            2814                0                   159                 10                  
12:48:46            2838                0                   161                 10                  
12:54:05            2859                0                   162                 10                  
12:59:17            2869                0                   165                 10                  
13:04:22            2886                0                   166                 10                  
13:09:35            2904                0                   167                 10                  
13:14:49            2924                0                   168                 10                  
13:20:10            2942                0                   168                 10                  
13:25:10            2966                0                   168                 10                  
13:30:24            2984                0                   168                 10                  
13:35:38            3001                0                   168                 10                  
13:40:46            3017                1                   168                 10                  
13:46:05            3029                1                   168                 10                  
13:51:15            3045                1                   168                 10                  
13:56:28            3057                1                   168                 10                  
14:02:15            3067                1                   168                 10                  
14:07:35            3079                1                   168                 10                  
14:12:53            3092                1                   170                 10                  
14:17:55            3103                1                   170                 10                  
14:23:09            3113                1                   170                 10                  
14:28:10            3121                1                   170                 10                  
14:33:26            3132                1                   170                 10                  
14:38:28            3143                1                   170                 10                  
14:43:49            3155                1                   170                 10                  
14:49:09            3166                1                   170                 10                  
14:54:13            3176                1                   171                 10                  
14:59:27            3197                1                   172                 10                  
15:04:40            3213                1                   172                 10                  
15:09:56            3223                1                   172                 10                  
15:15:01            3250                1                   178                 10                  
15:20:03            3269                1                   178                 10                  
15:25:13            3288                1                   179                 10                  
15:30:23            3305                1                   179                 10                  
15:35:33            3323                1                   179                 10                  
15:40:51            3338                1                   181                 10                  
15:46:07            3351                1                   182                 10                  
15:51:14            3376                1                   182                 10                  
15:56:19            3398                1                   185                 11                  
