Time,Round,Coverage
00:00:17,1,2
00:05:24,19,11
00:10:34,37,21
00:15:43,51,26
00:20:49,69,30
00:26:00,87,32
00:31:08,101,37
00:36:15,119,44
00:41:26,137,48
00:46:35,151,55
00:51:42,169,63
00:56:52,187,64
01:02:01,201,65
01:07:07,219,71
01:12:19,237,77
01:17:28,251,78
01:22:35,269,84
01:27:45,287,91
01:32:53,301,93
01:38:00,319,94
01:43:08,337,101
01:48:16,351,104
01:53:23,369,107
01:58:35,387,109
02:03:44,401,111
02:08:50,419,114
02:13:54,437,120
02:19:03,451,122
02:24:09,469,124
02:29:21,487,131
02:34:30,501,136
02:39:30,519,141
02:44:41,537,144
02:49:50,551,147
02:54:57,569,151
03:00:06,587,157
03:05:14,601,158
03:10:21,619,161
03:15:32,637,166
03:20:40,651,169
03:25:47,669,175
03:30:58,687,178
03:35:59,701,185
03:41:06,719,188
03:46:16,737,192
03:51:25,751,193
03:56:32,769,197
04:01:42,787,200
04:06:50,801,203
04:11:57,819,205
04:17:08,837,206
04:22:16,851,212
04:27:23,869,218
04:32:32,887,219
04:37:41,901,221
04:42:48,919,225
04:48:00,937,228
04:53:09,951,228
04:58:16,969,229
05:03:26,987,232
05:08:35,1001,233
05:13:42,1019,236
05:18:53,1037,237
05:24:01,1051,239
05:29:08,1069,239
05:34:25,1088,242
05:39:33,1102,243
05:44:40,1120,247
05:49:52,1138,251
05:55:00,1152,256
06:00:07,1170,259
06:05:20,1188,259
06:10:28,1202,262
06:15:35,1220,263
06:20:47,1238,263
06:25:55,1252,266
06:31:02,1270,269
06:36:13,1288,270
06:41:21,1302,271
06:46:28,1320,272
06:51:39,1338,273
06:56:47,1352,274
07:01:55,1370,276
07:07:07,1388,278
07:12:15,1402,279
07:17:22,1420,283
07:22:35,1438,285
07:27:43,1452,285
07:32:43,1470,288
07:37:55,1488,293
07:43:03,1502,295
07:48:04,1520,296
07:53:15,1538,302
07:58:23,1552,306
08:03:31,1570,314
08:08:43,1588,317
08:13:52,1602,321
08:18:59,1620,328
08:24:05,1638,333
08:29:13,1652,337
08:34:20,1670,339
08:39:33,1688,342
08:44:41,1702,345
08:49:48,1720,348
08:55:01,1738,353
09:00:08,1752,358
09:05:16,1770,359
09:10:16,1788,362
09:15:24,1802,363
09:20:31,1820,364
09:25:43,1838,366
09:30:51,1852,370
09:35:58,1870,374
09:41:11,1888,376
09:46:19,1902,381
09:51:26,1920,382
09:56:37,1938,383
10:01:45,1952,384
10:06:53,1970,385
10:12:05,1988,387
10:17:13,2002,390
10:22:21,2020,394
10:27:33,2038,397
10:32:41,2052,401
10:37:48,2070,405
10:42:59,2088,408
10:48:07,2102,410
10:53:15,2120,412
10:58:27,2138,416
11:03:35,2152,419
11:08:42,2170,421
11:13:54,2188,421
11:19:03,2202,423
11:24:10,2220,424
11:29:22,2238,426
11:34:30,2252,431
11:39:38,2270,433
11:44:50,2288,441
11:49:57,2302,443
11:55:04,2320,447
12:00:16,2338,448
12:05:23,2352,451
12:10:30,2370,457
12:15:44,2388,459
12:20:52,2402,461
12:26:00,2420,463
12:31:10,2438,465
12:36:19,2452,467
12:41:26,2470,468
12:46:38,2488,471
12:51:46,2502,477
12:56:53,2520,481
13:02:04,2538,484
13:07:12,2552,489
13:12:19,2570,491
13:17:31,2588,491
13:22:39,2602,494
13:27:51,2621,496
13:33:01,2639,499
13:38:08,2653,501
13:43:16,2671,502
13:48:26,2689,504
13:53:32,2703,505
13:58:40,2721,509
14:03:52,2739,510
14:08:59,2753,511
14:14:06,2771,512
14:19:18,2789,512
14:24:26,2803,512
14:29:33,2821,513
14:34:46,2839,516
14:39:53,2853,516
14:45:00,2871,518
14:50:12,2889,518
14:55:20,2903,519
15:00:27,2921,525
15:05:39,2939,530
15:10:46,2953,534
15:15:53,2971,537
15:21:07,2989,538
15:26:14,3003,541
15:31:14,3021,544
15:36:27,3039,546
15:41:35,3053,546
15:46:42,3071,549
15:51:54,3089,552
15:57:01,3103,555
16:02:08,3121,556
16:07:22,3139,558
16:12:33,3154,561
16:17:34,3172,562
16:22:46,3190,563
16:27:53,3204,563
16:33:00,3222,567
16:38:14,3240,569
16:43:20,3254,571
16:48:28,3272,571
16:53:40,3290,571
16:58:46,3304,572
17:03:47,3322,574
17:08:59,3340,576
17:14:05,3354,576
17:19:13,3372,577
17:24:26,3390,578
17:29:33,3404,578
17:34:40,3422,579
17:39:45,3440,579
17:44:51,3454,580
17:49:59,3472,582
17:55:13,3490,582
18:00:20,3504,583
18:05:27,3522,583
18:10:41,3540,585
18:15:48,3554,585
18:20:56,3572,587
18:26:10,3590,590
18:31:16,3604,591
18:36:24,3622,594
18:41:37,3640,596
18:46:44,3654,599
18:51:51,3672,599
18:57:05,3690,605
19:02:12,3704,606
19:07:20,3722,608
19:12:33,3740,614
19:17:39,3754,615
19:22:46,3772,615
19:28:00,3790,617
19:33:07,3804,617
