Time                Round               Mutate stage        Coverage            Crash found         
00:00:17            1                   0                   2                   0                   
00:05:24            19                  0                   11                  0                   
00:10:34            37                  0                   21                  0                   
00:15:43            51                  0                   26                  0                   
00:20:49            69                  0                   30                  0                   
00:26:00            87                  0                   32                  0                   
00:31:08            101                 0                   37                  0                   
00:36:15            119                 0                   44                  0                   
00:41:26            137                 0                   48                  0                   
00:46:35            151                 0                   55                  0                   
00:51:42            169                 0                   63                  0                   
00:56:52            187                 0                   64                  0                   
01:02:01            201                 0                   65                  0                   
01:07:07            219                 0                   71                  0                   
01:12:19            237                 0                   77                  0                   
01:17:28            251                 0                   78                  0                   
01:22:35            269                 0                   84                  0                   
01:27:45            287                 0                   91                  0                   
01:32:53            301                 0                   93                  0                   
01:38:00            319                 0                   94                  0                   
01:43:08            337                 0                   101                 0                   
01:48:16            351                 0                   104                 0                   
01:53:23            369                 0                   107                 0                   
01:58:35            387                 0                   109                 0                   
02:03:44            401                 0                   111                 0                   
02:08:50            419                 0                   114                 0                   
02:13:54            437                 0                   120                 0                   
02:19:03            451                 0                   122                 0                   
02:24:09            469                 0                   124                 0                   
02:29:21            487                 0                   131                 0                   
02:34:30            501                 0                   136                 0                   
02:39:30            519                 0                   141                 0                   
02:44:41            537                 0                   144                 0                   
02:49:50            551                 0                   147                 0                   
02:54:57            569                 0                   151                 0                   
03:00:06            587                 0                   157                 0                   
03:05:14            601                 0                   158                 0                   
03:10:21            619                 0                   161                 0                   
03:15:32            637                 0                   166                 0                   
03:20:40            651                 0                   169                 0                   
03:25:47            669                 0                   175                 0                   
03:30:58            687                 0                   178                 0                   
03:35:59            701                 0                   185                 0                   
03:41:06            719                 0                   188                 0                   
03:46:16            737                 0                   192                 0                   
03:51:25            751                 0                   193                 0                   
03:56:32            769                 0                   197                 0                   
04:01:42            787                 0                   200                 0                   
04:06:50            801                 0                   203                 0                   
04:11:57            819                 0                   205                 0                   
04:17:08            837                 0                   206                 0                   
04:22:16            851                 0                   212                 0                   
04:27:23            869                 0                   218                 0                   
04:32:32            887                 0                   219                 0                   
04:37:41            901                 0                   221                 0                   
04:42:48            919                 0                   225                 0                   
04:48:00            937                 0                   228                 0                   
04:53:09            951                 0                   228                 0                   
04:58:16            969                 0                   229                 0                   
05:03:26            987                 0                   232                 0                   
05:08:35            1001                0                   233                 0                   
05:13:42            1019                0                   236                 0                   
05:18:53            1037                0                   237                 0                   
05:24:01            1051                0                   239                 0                   
05:29:08            1069                0                   239                 0                   
05:34:25            1088                0                   242                 0                   
05:39:33            1102                0                   243                 0                   
05:44:40            1120                0                   247                 0                   
05:49:52            1138                0                   251                 0                   
05:55:00            1152                0                   256                 0                   
06:00:07            1170                0                   259                 0                   
06:05:20            1188                0                   259                 0                   
06:10:28            1202                0                   262                 0                   
06:15:35            1220                0                   263                 0                   
06:20:47            1238                0                   263                 0                   
06:25:55            1252                0                   266                 0                   
06:31:02            1270                0                   269                 0                   
06:36:13            1288                0                   270                 0                   
06:41:21            1302                0                   271                 0                   
06:46:28            1320                0                   272                 0                   
06:51:39            1338                0                   273                 0                   
06:56:47            1352                0                   274                 0                   
07:01:55            1370                0                   276                 0                   
07:07:07            1388                0                   278                 0                   
07:12:15            1402                0                   279                 0                   
07:17:22            1420                0                   283                 0                   
07:22:35            1438                0                   285                 0                   
07:27:43            1452                0                   285                 0                   
07:32:43            1470                0                   288                 0                   
07:37:55            1488                0                   293                 0                   
07:43:03            1502                0                   295                 0                   
07:48:04            1520                0                   296                 0                   
07:53:15            1538                0                   302                 0                   
07:58:23            1552                0                   306                 0                   
08:03:31            1570                0                   314                 0                   
08:08:43            1588                0                   317                 0                   
08:13:52            1602                0                   321                 0                   
08:18:59            1620                0                   328                 0                   
08:24:05            1638                0                   333                 0                   
08:29:13            1652                0                   337                 0                   
08:34:20            1670                0                   339                 0                   
08:39:33            1688                0                   342                 0                   
08:44:41            1702                0                   345                 0                   
08:49:48            1720                0                   348                 0                   
08:55:01            1738                0                   353                 0                   
09:00:08            1752                0                   358                 0                   
09:05:16            1770                0                   359                 0                   
09:10:16            1788                0                   362                 0                   
09:15:24            1802                0                   363                 0                   
09:20:31            1820                0                   364                 0                   
09:25:43            1838                0                   366                 0                   
09:30:51            1852                0                   370                 0                   
09:35:58            1870                0                   374                 0                   
09:41:11            1888                0                   376                 0                   
09:46:19            1902                0                   381                 0                   
09:51:26            1920                0                   382                 0                   
09:56:37            1938                0                   383                 0                   
10:01:45            1952                0                   384                 0                   
10:06:53            1970                0                   385                 0                   
10:12:05            1988                0                   387                 0                   
10:17:13            2002                0                   390                 0                   
10:22:21            2020                0                   394                 0                   
10:27:33            2038                0                   397                 0                   
10:32:41            2052                0                   401                 0                   
10:37:48            2070                0                   405                 0                   
10:42:59            2088                0                   408                 0                   
10:48:07            2102                0                   410                 0                   
10:53:15            2120                0                   412                 0                   
10:58:27            2138                0                   416                 0                   
11:03:35            2152                0                   419                 0                   
11:08:42            2170                0                   421                 0                   
11:13:54            2188                0                   421                 0                   
11:19:03            2202                0                   423                 0                   
11:24:10            2220                0                   424                 0                   
11:29:22            2238                0                   426                 0                   
11:34:30            2252                0                   431                 0                   
11:39:38            2270                0                   433                 0                   
11:44:50            2288                0                   441                 0                   
11:49:57            2302                0                   443                 0                   
11:55:04            2320                0                   447                 0                   
12:00:16            2338                0                   448                 0                   
12:05:23            2352                0                   451                 0                   
12:10:30            2370                0                   457                 0                   
12:15:44            2388                0                   459                 0                   
12:20:52            2402                0                   461                 0                   
12:26:00            2420                0                   463                 0                   
