Time,Round,Coverage
0:0:0:2,1,1
0:0:0:15,2,2
0:0:0:42,4,3
0:0:0:53,5,4
0:0:3:27,17,5
0:0:3:53,19,6
0:0:4:45,23,7
0:0:5:50,28,8
0:0:6:18,30,9
0:0:7:13,34,10
0:0:8:17,39,11
0:0:9:57,47,12
0:0:13:43,59,13
0:0:16:51,73,14
0:0:17:44,77,15
0:0:20:42,90,16
0:0:26:18,111,17
0:0:27:37,117,18
0:0:28:18,120,19
0:0:38:34,162,20
0:0:39:14,165,21
0:0:40:53,172,22
0:0:41:8,173,23
0:0:49:40,207,24
0:1:9:16,291,25
0:1:9:31,292,26
0:1:9:44,293,27
0:1:11:59,303,28
0:1:28:20,367,29
0:1:30:8,375,30
0:1:32:6,384,31
0:1:36:58,406,32
0:1:43:14,429,33
0:1:47:49,451,34
0:1:49:6,457,35
0:2:17:9,570,36
0:2:17:34,572,37
0:2:25:8,605,38
0:2:29:41,621,39
0:2:37:25,657,40
0:2:40:6,664,41
0:2:50:18,711,42
0:2:52:40,717,43
0:2:58:15,743,44
0:3:6:38,777,45
0:3:9:55,792,46
0:3:12:53,806,47
0:3:27:7,865,48
0:3:38:35,913,49
0:3:45:39,941,50
0:4:15:2,1065,51
0:4:39:6,1166,52
0:4:40:22,1172,53
0:4:46:59,1197,54
0:5:11:31,1299,55
0:5:16:7,1320,56
0:5:18:58,1328,57
0:5:28:54,1373,58
0:5:36:48,1405,59
0:7:8:27,1760,60
0:7:12:16,1778,61
0:8:55:23,2204,62
0:9:1:59,2235,63
0:9:22:28,2320,64
0:9:23:34,2325,65
0:10:1:54,2485,66
0:10:2:43,2489,67
0:10:25:38,2584,68
0:10:46:48,2670,69
0:11:11:5,2769,70
0:11:30:27,2851,71
0:11:40:26,2891,72
0:11:41:35,2896,73
0:11:58:35,2963,74
0:12:51:19,3163,75
0:13:17:41,3274,76
0:13:28:46,3319,77
0:13:29:48,3324,78
0:13:42:25,3376,79
0:14:20:42,3534,80
0:15:5:30,3723,81
0:16:43:50,4129,82
0:17:29:25,4317,83
0:17:44:13,4380,84
0:18:49:0,4630,85
0:19:18:0,4714,86
0:20:20:16,4898,87
0:21:19:24,5094,88
0:23:44:17,5531,89
1:0:49:1,5728,90
1:5:16:2,6691,91
1:5:49:20,6830,92
1:6:49:26,7081,93
1:7:38:15,7283,94
1:8:31:13,7499,95
1:10:43:38,7924,96
1:12:33:18,8282,97
1:13:6:15,8419,98
1:14:5:21,8667,99
1:14:14:57,8705,100
1:16:2:52,9156,101
1:16:15:59,9211,102
1:17:15:44,9460,103
1:17:47:49,9591,104
1:17:51:47,9610,105
1:20:50:53,10154,106
1:21:46:10,10330,107
1:22:33:9,10469,108
1:23:45:33,10701,109
2:0:15:21,10788,110
