Time,Round,Coverage
00:00:09,1,1
00:05:18,37,7
00:10:23,62,13
00:15:47,86,15
00:20:52,105,15
00:25:52,141,18
00:30:53,161,19
00:35:58,179,20
00:41:08,204,23
00:46:08,230,23
00:51:11,245,23
00:56:17,268,23
01:02:11,300,26
01:07:18,324,27
01:12:22,345,28
01:17:30,357,29
01:22:58,369,30
01:28:03,391,35
01:33:05,412,37
01:38:16,429,38
01:43:43,454,40
01:48:55,466,40
01:54:02,489,40
01:59:04,506,45
02:04:23,527,48
02:10:23,550,51
02:15:32,575,53
02:21:39,600,53
02:26:42,620,53
02:31:46,642,54
02:36:57,651,55
02:42:08,662,57
02:47:10,680,57
02:52:26,697,57
02:57:32,715,58
03:02:35,737,58
03:07:38,763,60
03:12:40,786,61
03:18:02,798,61
03:23:07,814,61
03:28:11,841,62
03:33:21,855,62
03:38:29,867,62
03:43:32,893,63
03:48:37,921,64
03:54:21,941,66
03:59:24,962,67
04:04:36,990,69
04:09:45,1009,70
04:14:50,1029,70
04:20:05,1047,73
04:25:17,1075,76
04:31:22,1091,78
04:36:28,1117,78
04:41:34,1139,78
04:46:48,1149,80
04:52:00,1165,80
04:57:17,1179,80
05:02:25,1190,81
05:07:35,1199,82
05:13:01,1211,82
05:18:24,1223,82
05:24:35,1241,82
05:29:45,1257,82
05:34:57,1277,84
05:40:04,1293,85
05:45:15,1311,88
05:50:21,1341,89
05:55:25,1370,89
06:00:32,1384,89
06:05:42,1396,90
06:10:48,1417,91
06:15:50,1436,92
06:21:17,1461,92
06:26:20,1473,92
06:32:11,1491,92
06:37:29,1509,93
06:42:31,1535,95
06:47:45,1556,96
06:53:40,1575,96
06:58:41,1594,96
07:03:44,1623,99
07:09:46,1639,101
07:14:49,1650,102
07:20:03,1672,104
07:25:20,1690,104
07:30:25,1716,104
07:35:34,1739,105
07:40:41,1756,105
07:45:47,1788,106
07:50:49,1807,109
07:55:49,1822,109
08:00:56,1836,111
08:05:57,1852,111
08:11:03,1875,112
08:16:18,1895,113
08:21:42,1911,114
08:27:00,1922,114
08:32:02,1935,114
08:37:15,1949,114
08:42:27,1960,114
08:47:45,1971,115
08:52:54,1982,117
08:58:08,1991,118
09:03:15,2001,118
09:08:29,2013,118
09:13:37,2026,120
09:18:58,2039,120
09:24:03,2052,120
09:29:31,2066,120
09:34:58,2090,122
09:40:05,2107,122
09:45:17,2129,123
09:50:18,2146,123
09:55:19,2163,123
10:00:20,2178,125
10:05:23,2211,126
10:10:40,2233,127
10:15:51,2250,127
10:21:13,2267,129
10:26:38,2277,131
10:31:49,2299,132
10:36:49,2317,132
10:41:58,2337,132
10:47:07,2355,132
10:52:18,2368,133
10:57:21,2390,133
11:02:27,2408,135
11:07:30,2425,138
11:12:37,2450,140
11:17:43,2471,142
11:22:46,2494,142
11:29:06,2521,147
11:34:08,2547,147
11:40:02,2572,148
11:45:10,2602,149
11:51:29,2615,149
11:56:34,2633,151
12:01:48,2657,152
12:07:00,2675,152
12:12:05,2698,152
12:17:54,2716,153
12:23:04,2732,155
12:28:11,2753,156
12:33:17,2772,156
12:38:32,2797,158
12:43:42,2814,159
12:48:46,2838,161
12:54:05,2859,162
12:59:17,2869,165
13:04:22,2886,166
13:09:35,2904,167
13:14:49,2924,168
13:20:10,2942,168
13:25:10,2966,168
13:30:24,2984,168
13:35:38,3001,168
13:40:46,3017,168
13:46:05,3029,168
13:51:15,3045,168
13:56:28,3057,168
14:02:15,3067,168
14:07:35,3079,168
14:12:53,3092,170
14:17:55,3103,170
14:23:09,3113,170
14:28:10,3121,170
14:33:26,3132,170
14:38:28,3143,170
14:43:49,3155,170
14:49:09,3166,170
14:54:13,3176,171
14:59:27,3197,172
15:04:40,3213,172
15:09:56,3223,172
15:15:01,3250,178
15:20:03,3269,178
15:25:13,3288,179
15:30:23,3305,179
15:35:33,3323,179
15:40:51,3338,181
15:46:07,3351,182
15:51:14,3376,182
15:56:19,3398,185
16:01:20,3423,185
16:06:25,3441,185
16:11:39,3457,185
16:16:51,3474,185
16:21:55,3487,185
16:27:15,3501,185
16:32:34,3513,185
16:37:36,3526,187
16:43:55,3538,187
16:49:02,3550,187
16:54:09,3570,187
16:59:24,3588,187
17:04:38,3597,187
17:09:39,3625,187
17:14:59,3638,188
17:20:13,3649,188
17:25:25,3671,188
17:30:33,3686,188
17:35:51,3698,189
17:40:57,3716,189
17:45:58,3738,189
17:52:14,3752,190
17:57:20,3778,192
18:03:24,3803,192
18:08:37,3834,193
18:13:41,3852,193
18:18:43,3878,194
18:24:06,3903,194
18:29:18,3921,194
18:34:36,3932,194
18:39:47,3960,195
18:45:12,3983,195
18:50:17,4015,195
18:56:23,4033,196
19:02:03,4053,198
19:07:14,4072,198
19:12:24,4096,200
19:17:30,4113,200
19:22:35,4130,200
19:27:36,4153,201
19:32:40,4170,202
19:38:51,4194,202
19:43:55,4210,202
19:48:57,4227,205
19:54:58,4245,205
20:00:13,4266,205
20:05:26,4293,205
20:10:31,4314,205
20:15:31,4332,207
20:20:51,4349,207
20:25:53,4376,207
20:30:55,4401,208
20:36:08,4421,208
20:41:31,4436,208
20:46:33,4448,208
20:51:56,4465,208
20:57:07,4480,208
21:02:28,4493,209
21:07:33,4502,210
21:12:35,4520,210
21:17:48,4542,211
21:22:53,4560,212
21:28:00,4575,212
21:33:04,4598,212
21:38:30,4617,213
21:43:43,4629,213
21:49:05,4642,213
21:54:06,4650,213
21:59:16,4669,213
22:04:34,4683,213
22:10:02,4694,213
22:15:28,4703,215
22:20:30,4714,215
22:25:46,4728,216
