Time,Round,Coverage
00:00:11,1,2
00:05:17,28,5
00:10:22,55,9
00:15:33,82,13
00:20:36,101,16
00:25:42,127,19
00:30:49,154,20
00:35:56,181,20
00:41:03,201,22
00:46:11,228,23
00:51:18,255,26
00:56:21,280,29
01:01:28,300,31
01:06:37,327,31
01:11:44,354,32
01:16:49,381,33
01:21:53,400,35
01:26:59,427,37
01:32:06,454,38
01:37:18,481,44
01:42:26,501,46
01:47:26,527,47
01:52:26,553,49
01:57:37,580,50
02:02:45,600,54
02:07:50,626,56
02:12:56,653,56
02:18:06,680,57
02:23:13,700,57
02:28:14,726,59
02:33:23,753,61
02:38:34,780,64
02:43:42,800,65
02:48:48,827,66
02:53:57,854,68
02:59:07,881,69
03:04:25,901,70
03:09:28,928,71
03:14:36,955,71
03:19:45,982,72
03:24:51,1002,73
03:29:57,1029,73
03:35:07,1056,75
03:40:17,1083,78
03:45:21,1102,80
03:50:31,1129,86
03:55:32,1155,90
04:00:43,1182,91
04:05:50,1202,92
04:10:54,1229,92
04:16:06,1256,93
04:21:11,1282,99
04:26:15,1301,100
04:31:16,1327,102
04:36:24,1354,102
04:41:32,1381,103
04:46:43,1401,104
04:51:50,1428,104
04:56:57,1455,105
05:02:05,1482,106
05:07:10,1502,108
05:12:10,1528,109
05:17:21,1555,111
05:22:31,1582,112
05:27:37,1602,112
05:32:44,1629,113
05:37:49,1656,114
05:42:53,1683,116
05:48:01,1703,119
05:53:08,1730,120
05:58:13,1756,122
06:03:23,1783,122
06:08:29,1803,122
06:13:40,1830,123
06:18:49,1857,123
06:23:58,1884,124
06:29:03,1903,124
06:34:05,1929,126
06:39:13,1956,126
06:44:17,1983,126
06:49:18,2001,129
06:54:19,2027,133
06:59:28,2054,134
07:04:37,2080,135
07:09:41,2100,135
07:14:52,2127,135
07:19:53,2153,136
07:25:00,2180,136
07:30:10,2200,136
07:35:19,2227,137
07:40:19,2253,137
07:45:28,2280,137
07:50:36,2300,137
07:55:46,2327,140
08:00:56,2354,142
08:06:06,2381,144
08:11:15,2401,144
08:16:24,2428,147
08:21:34,2455,151
08:26:45,2482,151
08:31:47,2501,152
08:36:57,2528,153
08:42:08,2555,153
08:47:18,2582,154
08:52:22,2602,154
08:57:22,2628,154
09:02:30,2655,156
09:07:33,2682,156
09:12:41,2702,157
09:17:41,2728,159
09:22:50,2755,161
09:27:56,2782,164
09:33:01,2801,166
09:38:08,2828,167
09:43:18,2855,168
09:48:28,2882,169
09:53:30,2901,170
09:58:38,2928,171
10:03:46,2955,171
10:08:55,2982,172
10:14:06,3001,172
10:19:13,3028,172
10:24:22,3055,172
10:29:24,3081,173
10:34:34,3101,175
10:39:43,3127,175
10:44:45,3153,175
10:49:49,3179,177
10:55:19,3200,178
11:00:24,3225,181
11:05:32,3252,181
11:10:43,3279,183
11:16:03,3300,183
11:21:04,3326,184
11:26:13,3353,184
11:31:18,3377,188
11:37:15,3400,188
11:42:16,3426,189
11:47:27,3453,189
11:52:31,3479,190
11:57:51,3500,190
12:03:00,3527,191
12:08:10,3554,192
12:13:14,3580,192
12:18:27,3600,192
12:23:28,3626,192
12:28:29,3652,194
12:33:32,3678,194
12:39:06,3700,194
12:44:15,3727,194
12:49:18,3753,194
12:54:24,3779,196
12:59:47,3800,196
13:04:58,3827,197
13:09:59,3853,199
13:15:02,3879,199
13:20:24,3900,199
13:25:33,3927,199
13:30:34,3953,200
13:35:38,3978,200
13:41:11,4000,201
13:46:16,4025,201
13:51:18,4049,201
13:56:21,4074,202
14:02:38,4100,202
14:07:42,4126,202
14:12:48,4152,202
14:17:59,4179,202
14:23:19,4200,202
14:28:19,4226,203
14:33:29,4253,203
14:38:31,4279,203
14:43:50,4300,204
14:48:52,4326,205
14:54:02,4353,206
14:59:07,4379,208
15:04:27,4400,209
15:09:34,4426,211
15:14:39,4452,211
15:19:44,4478,213
15:25:15,4500,213
15:30:23,4526,217
15:35:26,4550,220
15:40:29,4576,222
15:46:34,4600,225
15:51:43,4627,225
15:56:54,4654,226
16:01:58,4679,227
16:07:33,4700,228
16:12:35,4726,228
16:17:39,4752,228
16:22:40,4771,232
16:27:44,4796,233
