Time                Round               Mutate stage        Coverage            Crash found         
00:00:11            1                   0                   2                   0                   
00:05:17            28                  0                   5                   0                   
00:10:22            55                  0                   9                   0                   
00:15:33            82                  0                   13                  0                   
00:20:36            101                 0                   16                  0                   
00:25:42            127                 0                   19                  0                   
00:30:49            154                 0                   20                  0                   
00:35:56            181                 0                   20                  0                   
00:41:03            201                 0                   22                  0                   
00:46:11            228                 0                   23                  0                   
00:51:18            255                 0                   26                  0                   
00:56:21            280                 0                   29                  0                   
01:01:28            300                 0                   31                  0                   
01:06:37            327                 0                   31                  0                   
01:11:44            354                 0                   32                  0                   
01:16:49            381                 0                   33                  0                   
01:21:53            400                 0                   35                  0                   
01:26:59            427                 0                   37                  0                   
01:32:06            454                 0                   38                  0                   
01:37:18            481                 0                   44                  0                   
01:42:26            501                 0                   46                  0                   
01:47:26            527                 0                   47                  0                   
01:52:26            553                 0                   49                  0                   
01:57:37            580                 0                   50                  0                   
02:02:45            600                 0                   54                  0                   
02:07:50            626                 0                   56                  0                   
02:12:56            653                 0                   56                  0                   
02:18:06            680                 0                   57                  0                   
02:23:13            700                 0                   57                  0                   
02:28:14            726                 0                   59                  0                   
02:33:23            753                 0                   61                  0                   
02:38:34            780                 0                   64                  0                   
02:43:42            800                 0                   65                  0                   
02:48:48            827                 0                   66                  0                   
02:53:57            854                 0                   68                  0                   
02:59:07            881                 0                   69                  0                   
03:04:25            901                 0                   70                  0                   
03:09:28            928                 0                   71                  0                   
03:14:36            955                 0                   71                  0                   
03:19:45            982                 0                   72                  0                   
03:24:51            1002                0                   73                  0                   
03:29:57            1029                0                   73                  0                   
03:35:07            1056                0                   75                  0                   
03:40:17            1083                0                   78                  0                   
03:45:21            1102                0                   80                  0                   
03:50:31            1129                0                   86                  0                   
03:55:32            1155                0                   90                  0                   
04:00:43            1182                0                   91                  0                   
04:05:50            1202                0                   92                  0                   
04:10:54            1229                0                   92                  0                   
04:16:06            1256                0                   93                  0                   
04:21:11            1282                0                   99                  0                   
04:26:15            1301                0                   100                 0                   
04:31:16            1327                0                   102                 0                   
04:36:24            1354                0                   102                 0                   
04:41:32            1381                0                   103                 0                   
04:46:43            1401                0                   104                 0                   
04:51:50            1428                0                   104                 0                   
04:56:57            1455                0                   105                 0                   
05:02:05            1482                0                   106                 0                   
05:07:10            1502                0                   108                 0                   
05:12:10            1528                0                   109                 0                   
05:17:21            1555                0                   111                 0                   
05:22:31            1582                0                   112                 0                   
05:27:37            1602                0                   112                 0                   
05:32:44            1629                0                   113                 0                   
05:37:49            1656                0                   114                 0                   
05:42:53            1683                0                   116                 0                   
05:48:01            1703                0                   119                 0                   
05:53:08            1730                0                   120                 0                   
05:58:13            1756                0                   122                 0                   
06:03:23            1783                0                   122                 0                   
06:08:29            1803                0                   122                 0                   
06:13:40            1830                0                   123                 0                   
06:18:49            1857                0                   123                 0                   
06:23:58            1884                0                   124                 0                   
06:29:03            1903                0                   124                 0                   
06:34:05            1929                0                   126                 0                   
06:39:13            1956                0                   126                 0                   
06:44:17            1983                0                   126                 0                   
06:49:18            2001                0                   129                 0                   
06:54:19            2027                0                   133                 0                   
06:59:28            2054                0                   134                 0                   
07:04:37            2080                0                   135                 0                   
07:09:41            2100                0                   135                 0                   
07:14:52            2127                0                   135                 0                   
07:19:53            2153                0                   136                 0                   
07:25:00            2180                0                   136                 0                   
07:30:10            2200                0                   136                 0                   
07:35:19            2227                0                   137                 0                   
07:40:19            2253                0                   137                 0                   
07:45:28            2280                0                   137                 0                   
07:50:36            2300                0                   137                 0                   
07:55:46            2327                0                   140                 0                   
08:00:56            2354                0                   142                 0                   
08:06:06            2381                0                   144                 0                   
08:11:15            2401                0                   144                 0                   
08:16:24            2428                0                   147                 0                   
08:21:34            2455                0                   151                 0                   
08:26:45            2482                0                   151                 0                   
08:31:47            2501                0                   152                 0                   
08:36:57            2528                0                   153                 0                   
08:42:08            2555                0                   153                 0                   
08:47:18            2582                0                   154                 0                   
08:52:22            2602                0                   154                 0                   
08:57:22            2628                0                   154                 0                   
09:02:30            2655                0                   156                 0                   
09:07:33            2682                0                   156                 0                   
09:12:41            2702                0                   157                 0                   
