Time,Round,Coverage
0:0:0:2,1,1
0:0:0:17,2,2
0:0:0:33,3,3
0:0:0:47,4,4
0:0:0:59,5,5
0:0:1:13,6,6
0:0:1:59,9,7
0:0:2:11,10,8
0:0:2:24,11,9
0:0:2:39,12,10
0:0:2:53,13,11
0:0:3:7,14,12
0:0:3:18,15,13
0:0:3:35,16,14
0:0:3:49,17,15
0:0:4:2,18,16
0:0:4:45,21,17
0:0:5:44,25,18
0:0:6:0,26,19
0:0:6:25,28,20
0:0:7:57,34,21
0:0:8:25,36,22
0:0:10:29,45,23
0:0:10:56,47,24
0:0:11:50,51,25
0:0:13:30,53,26
0:0:15:15,60,27
0:0:19:15,76,28
0:0:21:34,85,29
0:0:28:29,109,30
0:0:33:34,130,31
0:0:49:40,191,32
0:1:3:59,244,33
0:1:4:11,245,34
0:3:26:58,776,35
0:8:53:58,2016,36
0:15:22:46,3475,37
0:16:11:57,3662,38
0:17:8:12,3874,39
1:0:18:51,5494,40
1:0:32:46,5546,41
1:1:14:24,5703,42
1:3:31:30,6219,43
1:3:33:51,6224,44
1:5:1:8,6553,45
1:5:41:50,6705,46
1:18:21:5,9567,47
