Time,Round,Coverage
00:00:10,1,2
00:05:11,27,11
00:10:36,58,13
00:15:45,82,18
00:20:58,99,23
00:26:01,137,25
00:31:03,174,25
00:36:07,202,26
00:41:08,239,28
00:46:30,256,30
00:52:44,278,32
00:57:49,322,37
01:02:53,367,37
01:07:55,384,37
01:12:57,412,38
01:18:48,448,40
01:25:17,470,41
01:30:19,498,43
01:36:01,534,44
01:41:19,586,44
01:46:39,603,45
01:51:41,636,45
01:56:42,672,46
02:02:57,713,46
02:08:38,743,47
02:13:41,787,48
02:19:30,814,48
02:25:21,823,48
02:31:06,846,50
02:36:06,892,50
02:42:15,914,50
02:47:35,964,50
02:52:40,992,52
02:57:50,1022,54
03:02:50,1063,55
03:07:56,1093,55
03:13:03,1120,55
03:20:31,1155,55
03:25:34,1188,56
03:30:47,1229,56
03:35:48,1253,56
03:41:05,1267,56
03:46:05,1314,57
03:53:21,1341,57
03:58:23,1372,58
04:03:24,1383,58
04:08:28,1414,58
04:13:29,1438,58
04:18:30,1470,58
04:23:37,1528,59
04:28:43,1560,59
04:33:51,1599,59
04:39:17,1629,59
04:44:42,1656,60
04:49:46,1684,61
04:54:49,1720,61
05:00:03,1735,61
05:06:32,1763,61
05:11:49,1784,61
05:16:54,1802,61
05:23:14,1832,61
05:28:32,1873,61
05:33:37,1884,61
05:38:39,1911,61
05:43:48,1949,62
05:48:49,1980,63
05:53:56,2007,64
05:59:03,2052,65
06:04:10,2092,65
06:09:15,2124,65
06:14:21,2169,65
06:19:22,2183,65
06:24:26,2215,65
06:29:33,2256,65
06:35:27,2280,65
06:40:43,2322,65
06:45:52,2333,65
06:50:53,2377,65
06:57:35,2422,65
07:03:59,2435,65
07:09:00,2466,65
07:14:04,2491,66
07:19:05,2545,67
07:24:21,2570,67
07:29:25,2597,71
07:36:39,2643,71
07:41:47,2679,71
07:46:49,2718,72
07:51:53,2739,73
07:57:32,2770,73
08:02:38,2804,73
08:07:43,2845,75
08:12:59,2870,75
08:18:15,2891,75
08:24:21,2923,75
08:29:22,2956,75
08:34:22,3006,75
08:39:38,3022,75
08:44:41,3074,75
08:49:55,3087,76
08:54:58,3117,77
09:00:08,3153,78
09:05:18,3182,78
09:10:23,3198,78
09:15:26,3246,79
09:20:37,3289,79
09:26:44,3295,79
09:31:47,3328,79
09:37:02,3376,79
09:42:05,3408,80
09:47:09,3425,80
09:52:14,3468,84
09:57:15,3488,85
10:02:15,3518,85
10:08:07,3546,85
10:13:31,3561,85
10:18:33,3591,88
10:23:54,3625,88
10:30:40,3666,90
10:35:53,3691,90
10:40:59,3728,90
10:46:03,3752,91
10:51:04,3779,98
10:56:11,3813,100
11:01:11,3835,100
11:06:14,3856,100
11:11:25,3873,103
11:16:27,3920,104
11:21:33,3957,108
11:26:40,4006,108
11:31:40,4041,108
11:36:45,4070,108
11:41:46,4126,108
11:46:54,4159,108
11:51:58,4198,108
11:57:00,4235,109
12:02:02,4265,109
12:08:03,4296,109
12:13:05,4327,110
12:18:08,4344,112
12:23:11,4394,114
12:29:01,4431,114
12:34:04,4488,114
12:39:22,4522,114
12:44:31,4555,114
12:49:33,4596,114
12:54:40,4628,115
12:59:53,4656,117
13:05:02,4689,118
13:10:03,4706,118
13:15:05,4741,122
13:20:17,4774,123
13:26:36,4792,123
13:31:48,4815,123
13:36:58,4839,124
13:42:12,4857,126
13:48:38,4868,126
13:53:38,4909,126
14:00:06,4931,126
14:05:14,4969,126
14:10:15,5006,126
14:15:54,5031,126
14:21:01,5076,126
14:26:04,5118,127
14:31:51,5142,127
14:36:57,5183,128
14:42:01,5210,128
14:47:02,5241,131
14:52:02,5262,131
14:57:15,5268,131
15:02:21,5303,132
15:08:22,5329,134
15:13:29,5368,138
15:18:31,5414,139
15:23:37,5442,139
15:28:41,5483,139
15:34:35,5529,139
15:39:37,5552,139
15:44:49,5575,139
15:49:52,5610,139
15:54:55,5648,139
16:00:05,5688,145
16:05:12,5716,150
16:10:27,5748,153
16:15:43,5766,155
16:21:11,5792,156
16:27:38,5819,158
16:32:40,5838,158
16:37:41,5868,160
16:42:47,5902,162
16:47:50,5925,162
16:52:54,5950,162
16:58:13,5976,162
17:03:24,5992,162
17:09:25,6004,162
17:16:47,6012,162
17:21:50,6049,162
17:26:57,6079,162
17:32:06,6114,163
17:37:37,6130,163
17:42:44,6161,163
17:47:48,6189,164
17:52:48,6225,164
17:58:41,6245,164
18:03:47,6285,164
18:08:49,6312,167
18:13:57,6348,168
18:19:06,6380,170
18:24:13,6398,172
18:29:24,6420,173
18:34:37,6425,173
18:39:43,6448,173
18:46:14,6479,173
18:52:22,6497,173
18:58:10,6540,174
19:03:13,6550,174
19:08:16,6576,178
19:13:21,6597,179
19:18:36,6629,180
