Time                Round               Mutate stage        Coverage            Crash found         
00:00:10            1                   0                   2                   0                   
00:05:11            27                  0                   11                  1                   
00:10:36            58                  0                   13                  1                   
00:15:45            82                  0                   18                  1                   
00:20:58            99                  0                   23                  2                   
00:26:01            137                 0                   25                  3                   
00:31:03            174                 0                   25                  3                   
00:36:07            202                 0                   26                  4                   
00:41:08            239                 0                   28                  4                   
00:46:30            256                 0                   30                  5                   
00:52:44            278                 0                   32                  7                   
00:57:49            322                 0                   37                  7                   
01:02:53            367                 0                   37                  7                   
01:07:55            384                 0                   37                  8                   
01:12:57            412                 1                   38                  9                   
01:18:48            448                 1                   40                  10                  
01:25:17            470                 1                   41                  12                  
01:30:19            498                 1                   43                  12                  
01:36:01            534                 1                   44                  13                  
01:41:19            586                 1                   44                  13                  
01:46:39            603                 1                   45                  15                  
01:51:41            636                 1                   45                  16                  
01:56:42            672                 1                   46                  16                  
02:02:57            713                 1                   46                  16                  
02:08:38            743                 1                   47                  17                  
02:13:41            787                 1                   48                  17                  
02:19:30            814                 1                   48                  19                  
02:25:21            823                 1                   48                  21                  
02:31:06            846                 1                   50                  22                  
02:36:06            892                 1                   50                  22                  
02:42:15            914                 1                   50                  24                  
02:47:35            964                 1                   50                  24                  
02:52:40            992                 1                   52                  25                  
02:57:50            1022                1                   54                  25                  
03:02:50            1063                1                   55                  25                  
03:07:56            1093                1                   55                  25                  
03:13:03            1120                1                   55                  26                  
03:20:31            1155                1                   55                  28                  
03:25:34            1188                1                   56                  28                  
03:30:47            1229                1                   56                  28                  
03:35:48            1253                1                   56                  28                  
03:41:05            1267                1                   56                  29                  
03:46:05            1314                1                   57                  29                  
03:53:21            1341                1                   57                  31                  
03:58:23            1372                1                   58                  32                  
04:03:24            1383                1                   58                  33                  
04:08:28            1414                1                   58                  34                  
04:13:29            1438                1                   58                  35                  
04:18:30            1470                1                   58                  35                  
04:23:37            1528                1                   59                  35                  
04:28:43            1560                1                   59                  35                  
04:33:51            1599                1                   59                  35                  
04:39:17            1629                1                   59                  36                  
04:44:42            1656                1                   60                  37                  
04:49:46            1684                1                   61                  37                  
04:54:49            1720                1                   61                  37                  
05:00:03            1735                1                   61                  38                  
05:06:32            1763                1                   61                  39                  
05:11:49            1784                1                   61                  40                  
05:16:54            1802                1                   61                  41                  
05:23:14            1832                1                   61                  43                  
05:28:32            1873                2                   61                  44                  
05:33:37            1884                2                   61                  45                  
05:38:39            1911                2                   61                  46                  
05:43:48            1949                2                   62                  46                  
05:48:49            1980                2                   63                  46                  
05:53:56            2007                2                   64                  46                  
05:59:03            2052                2                   65                  46                  
06:04:10            2092                2                   65                  46                  
06:09:15            2124                2                   65                  46                  
06:14:21            2169                2                   65                  46                  
06:19:22            2183                2                   65                  47                  
06:24:26            2215                2                   65                  47                  
06:29:33            2256                2                   65                  47                  
06:35:27            2280                2                   65                  47                  
06:40:43            2322                2                   65                  47                  
06:45:52            2333                2                   65                  49                  
06:50:53            2377                2                   65                  49                  
06:57:35            2422                2                   65                  51                  
07:03:59            2435                2                   65                  53                  
07:09:00            2466                2                   65                  53                  
07:14:04            2491                2                   66                  54                  
07:19:05            2545                2                   67                  54                  
07:24:21            2570                2                   67                  54                  
07:29:25            2597                2                   71                  54                  
07:36:39            2643                2                   71                  56                  
07:41:47            2679                2                   71                  56                  
07:46:49            2718                2                   72                  56                  
07:51:53            2739                2                   73                  57                  
07:57:32            2770                2                   73                  58                  
08:02:38            2804                2                   73                  58                  
08:07:43            2845                2                   75                  58                  
